target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	NaN	1.0632403899935049E-186	2.6516191850853997E-183	1.5135129113202994E-172	2.605202650069655E-187
1000	Average Rating	Random	NaN	3.393909248840891E-8	2.0684304211517417E-13	3.0948372255024993E-13	2.0186719050413375E-14
1000	Average Rating	kNN (full)	NaN	1.3014624120306938E-179	3.712576806418146E-183	7.060933645440834E-166	5.8100223695811056E-186
1000	Average Rating	Normalized kNN (full)	0.0	9.62711016796078E-132	6.895751774744972E-128	2.8253110355009206E-120	6.903705272551006E-131
1000	Average Rating	kNN (test)	NaN	1.4806491382141798E-103	3.746535472920329E-89	6.290856780667302E-86	1.3090601483946539E-91
1000	Average Rating	Popularity	NaN	1.4171001066800195E-80	8.080402183001955E-78	7.884324150375336E-69	1.2287446499807927E-78
1000	Average Rating	iMF (full)	NaN	3.262081151969793E-197	1.8739853419019404E-199	6.295908004254482E-186	1.754229723827657E-203
1000	Average Rating	Normalized kNN (test)	0.0	1.3880393167403667E-59	3.522722829467208E-27	1.182060252293881E-31	7.984596127745265E-29
1000	iMF (test)	Random	NaN	1.5868345012575915E-221	6.886714526242441E-258	1.7936129556802093E-239	9.165416803155333E-265
1000	iMF (test)	kNN (full)	NaN	0.03489549230315599	0.8187418738313768	0.09758588387252842	0.5505123360116496
1000	iMF (test)	Normalized kNN (full)	0.0	1.1995754237254023E-21	1.868042982454421E-16	3.30691306093511E-17	3.523085399351068E-17
1000	iMF (test)	kNN (test)	NaN	5.384392752845702E-34	1.3090725767625554E-38	3.61318512628692E-38	5.7810449321547E-40
1000	iMF (test)	Popularity	NaN	1.7544852534735092E-78	3.2817225038423035E-56	2.877171600171613E-63	1.894311127908469E-60
1000	iMF (test)	iMF (full)	NaN	0.4931579050706293	0.01045815298432516	0.06405428085215689	0.013125224357887651
1000	iMF (test)	Normalized kNN (test)	0.0	2.1681442191162467E-78	9.5619173435436E-141	1.4872852885464709E-121	1.1450447258228089E-141
1000	Random	kNN (full)	NaN	6.683221189133167E-214	2.151525775302668E-256	1.129401344934846E-232	2.1222539441117034E-262
1000	Random	Normalized kNN (full)	0.0	5.05695820999203E-165	7.786370061252644E-194	3.301361945841853E-180	1.1390787652511454E-199
1000	Random	kNN (test)	NaN	1.512044170268604E-132	4.890132284269764E-150	1.1502968372909559E-139	1.0291150736254161E-154
1000	Random	Popularity	NaN	5.449884380176487E-111	8.56107267849373E-134	4.949557767031859E-121	1.8281902960925232E-137
1000	Random	iMF (full)	NaN	6.967594870381739E-233	1.4167099140667582E-277	2.192579388452097E-252	2.685283552824039E-283
1000	Random	Normalized kNN (test)	0.0	9.022727976732618E-83	2.71881667046363E-68	2.524317148676464E-71	2.6742427746376635E-72
1000	kNN (full)	Normalized kNN (full)	0.0	1.1098822094918796E-18	2.4132363577795167E-18	4.4741601652027815E-15	3.967319078501897E-18
1000	kNN (full)	kNN (test)	NaN	9.713363786291975E-31	1.5887222629321802E-40	2.4105451066480933E-35	6.817988676754235E-41
1000	kNN (full)	Popularity	NaN	2.389455720266998E-91	6.972974419884809E-79	1.669955441759982E-77	1.582735620887013E-82
1000	kNN (full)	iMF (full)	NaN	0.02968561523445458	0.014303175274041758	0.001837683802341853	0.006786124658876543
1000	kNN (full)	Normalized kNN (test)	0.0	7.805754617874358E-79	1.9010065235177264E-152	6.263424105469698E-126	1.5703381011116144E-152
1000	Normalized kNN (full)	kNN (test)	0.0	2.4263757094912958E-4	4.0909950101885007E-11	2.0724492600983056E-10	2.1027657628278933E-11
1000	Normalized kNN (full)	Popularity	0.0	9.652917611208606E-19	9.592257741227295E-17	1.4287400501729235E-20	1.8899243079911966E-18
1000	Normalized kNN (full)	iMF (full)	0.0	1.3260447740466004E-21	1.8715343840287954E-22	6.1227993341705804E-21	4.6483407041726695E-23
1000	Normalized kNN (full)	Normalized kNN (test)	0.0	1.4993938359477793E-27	7.421069355499201E-89	1.40929220889648E-72	7.64148139357745E-89
1000	kNN (test)	Popularity	NaN	2.2700602654224566E-8	0.036411760889211414	0.0012495728302196556	0.015494087345182601
1000	kNN (test)	iMF (full)	NaN	4.706194881508083E-33	9.108653971105544E-47	8.441140763017256E-44	3.999016345513058E-48
1000	kNN (test)	Normalized kNN (test)	0.0	2.291768361463916E-18	4.544548598508695E-44	1.6982564298209403E-34	4.904974830051265E-44
1000	Popularity	iMF (full)	NaN	4.7667094905581844E-71	4.775110324146755E-64	5.1054845644835406E-70	3.3504038865992863E-68
1000	Popularity	Normalized kNN (test)	0.0	0.30903802493017063	7.488046281220058E-26	5.52655239518874E-15	2.3057085543905827E-24
1000	iMF (full)	Normalized kNN (test)	0.0	1.820864203118748E-72	4.098464823495171E-149	2.2385845171535714E-125	5.244221133797818E-150
