target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	NaN	1.240174141046075E-191	2.8058579541877734E-190	4.9058040169502655E-180	8.152391039273856E-195
1000	Average Rating	Random	NaN	3.374867369684306E-8	2.991302606942076E-14	4.5669132912120846E-14	2.539962332342408E-15
1000	Average Rating	kNN (full)	NaN	1.3014624120306938E-179	3.712576806418146E-183	7.060933645440834E-166	5.8100223695811056E-186
1000	Average Rating	Normalized kNN (full)	NaN	5.572225855701058E-132	2.0081586098454006E-128	1.4535067853967407E-120	2.153275692296124E-131
1000	Average Rating	kNN (test)	NaN	1.4806491382141798E-103	3.746535472920329E-89	6.290856780667302E-86	1.3090601483946539E-91
1000	Average Rating	Popularity	NaN	1.4171001066800195E-80	8.080402183001955E-78	7.884324150375336E-69	1.2287446499807927E-78
1000	Average Rating	iMF (full)	NaN	2.8027198291892387E-192	2.6470581560437698E-194	2.6449397397149768E-182	1.5560690183950161E-198
1000	Average Rating	Normalized kNN (test)	NaN	3.1089711758840697E-69	5.087994965268186E-41	6.209801531534892E-43	1.6329453186355406E-42
1000	iMF (test)	Random	NaN	3.6087477938503614E-228	1.0100212067655065E-273	9.156083465974914E-250	9.141406066713599E-280
1000	iMF (test)	kNN (full)	NaN	0.006161442096473225	0.12749125919697135	0.0019270488920510266	0.05176625294992938
1000	iMF (test)	Normalized kNN (full)	NaN	1.8174297470026206E-23	1.021724348433796E-19	3.288652933385435E-21	1.0328487586983955E-20
1000	iMF (test)	kNN (test)	NaN	1.14652577734485E-35	2.855407236422992E-43	8.208132013678248E-44	4.8288699415108356E-45
1000	iMF (test)	Popularity	NaN	1.1732520805793086E-82	1.0220375624383744E-62	1.9676416698568036E-73	5.536506049398136E-68
1000	iMF (test)	iMF (full)	NaN	0.43929083231509947	0.7591772223852892	0.8502056414881981	0.7980437023663336
1000	iMF (test)	Normalized kNN (test)	NaN	2.9803247829426323E-69	1.4123397331800838E-111	8.890826435594178E-104	1.3113720383718589E-114
1000	Random	kNN (full)	NaN	1.625769408983679E-215	1.7385800757339215E-265	6.2608121303411035E-236	2.3225865907977313E-270
1000	Random	Normalized kNN (full)	NaN	6.347545791610859E-167	4.837766009019129E-200	2.7907207062571624E-183	1.8831373819076102E-205
1000	Random	kNN (test)	NaN	9.934656477420082E-134	2.7893074710815707E-153	3.623547895543817E-143	3.292709989550457E-158
1000	Random	Popularity	NaN	1.4317078215738274E-112	2.408176994069637E-139	6.466283573145728E-124	6.10004680773651E-143
1000	Random	iMF (full)	NaN	1.648912547884594E-227	2.460124231672451E-275	3.862940183331627E-249	9.914188021739297E-281
1000	Random	Normalized kNN (test)	NaN	3.1730287955934994E-94	1.2200246450732981E-91	8.465053249882018E-89	2.35031858140402E-95
1000	kNN (full)	Normalized kNN (full)	NaN	1.4381551425128305E-18	5.7577892488911556E-18	6.3228313459360505E-15	8.605088581035249E-18
1000	kNN (full)	kNN (test)	NaN	9.713363786291975E-31	1.5887222629321802E-40	2.4105451066480933E-35	6.817988676754235E-41
1000	kNN (full)	Popularity	NaN	2.389455720266998E-91	6.972974419884809E-79	1.669955441759982E-77	1.582735620887013E-82
1000	kNN (full)	iMF (full)	NaN	0.16302671187889783	0.11709466321828554	0.011818605563015627	0.059109332859553464
1000	kNN (full)	Normalized kNN (test)	NaN	2.471652639282652E-65	1.5582325400105243E-111	2.7019945988433833E-96	4.087327560186009E-113
1000	Normalized kNN (full)	kNN (test)	NaN	2.1512499497260086E-4	2.370548250639195E-11	1.6005397794894663E-10	1.2690810771484045E-11
1000	Normalized kNN (full)	Popularity	NaN	7.716211687772539E-19	5.1838549330680744E-17	1.0192455915054223E-20	1.0467929306424972E-18
1000	Normalized kNN (full)	iMF (full)	NaN	2.3252086746627405E-19	7.495588370786468E-19	5.003802558454549E-19	9.669090417302025E-20
1000	Normalized kNN (full)	Normalized kNN (test)	NaN	5.0994402787868743E-20	1.6110477689436654E-57	4.3863147876149625E-50	9.840525846431799E-59
1000	kNN (test)	Popularity	NaN	2.2700602654224566E-8	0.036411760889211414	0.0012495728302196556	0.015494087345182601
1000	kNN (test)	iMF (full)	NaN	1.6694185747056713E-30	1.1243147570601492E-42	2.1975650408699503E-41	3.084248671171188E-44
1000	kNN (test)	Normalized kNN (test)	NaN	2.1193088924367765E-11	6.299457653287824E-23	1.4411173545901024E-19	1.5661708827536003E-23
1000	Popularity	iMF (full)	NaN	9.569416741118857E-67	2.1052745907183292E-58	7.309779894801095E-67	5.54670630118311E-63
1000	Popularity	Normalized kNN (test)	NaN	0.5692857101151054	7.228423904311758E-12	8.568116294229423E-7	2.9828896302641725E-11
1000	iMF (full)	Normalized kNN (test)	NaN	7.147937300120472E-60	6.728053498188683E-108	4.69072935114297E-98	9.469349770396924E-111
