fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	1000	Average Rating	1.0	0.00341713487498291	0.0014074074074074076	0.007731995884773663	0.002275400336072851
3	1000	iMF (test)	1.0	0.025074284453937244	0.006666666666666667	0.04326785714285714	0.011111025896156614
3	1000	Normalized kNN (full)	1.0	0.019224021354957765	0.005537037037037037	0.03455386537330982	0.009113112097804221
3	1000	Random	1.0	0.0023963578563203835	9.25925925925926E-4	0.004128086419753087	0.0014111870639648418
3	1000	iMF (full)	1.0	0.025751242585336048	0.006981481481481482	0.0455759847148736	0.011635672681037318
3	1000	Popularity	1.0	0.01396709877931881	0.004240740740740741	0.02592092886537331	0.006959227251108917
3	1000	kNN (test)	1.0	0.01799509644297809	0.004703703703703704	0.03109325396825397	0.007818129341005158
3	1000	Normalized kNN (test)	1.0	0.013180377775156234	0.003185185185185185	0.020448192239858904	0.005250548773424591
3	1000	kNN (full)	1.0	0.02407594961755323	0.006537037037037038	0.042962595532039974	0.01089998145575201
5	1000	Average Rating	1.0	0.003888112803924726	0.0015185185185185187	0.008231995884773663	0.0024500960107685255
5	1000	iMF (test)	1.0	0.024915326944470666	0.006666666666666667	0.04464263668430335	0.011171698611241095
5	1000	Normalized kNN (full)	1.0	0.019160110563359926	0.005296296296296296	0.035068562610229274	0.008857304671847156
5	1000	Random	1.0	0.002451820732554338	8.148148148148149E-4	0.005105967078189301	0.001332512273301747
5	1000	iMF (full)	1.0	0.025771674075593682	0.007055555555555556	0.047541005291005294	0.011839435860677691
5	1000	Popularity	1.0	0.014149614318744	0.004314814814814815	0.02671722516166961	0.007100080225295223
5	1000	kNN (test)	1.0	0.01619906425298516	0.0043518518518518515	0.027115961199294533	0.007198736599880391
5	1000	Normalized kNN (test)	1.0	0.014144995002546018	0.003462962962962963	0.02217857142857143	0.005719950045113444
5	1000	kNN (full)	1.0	0.02408418969417622	0.00662962962962963	0.04350448265726043	0.011053457246482701
4	1000	Average Rating	1.0	0.004479413127496243	0.0018333333333333333	0.010006687242798355	0.0029571121427846574
4	1000	iMF (test)	1.0	0.02607326036357859	0.006759259259259259	0.04435427689594357	0.011282538026002079
4	1000	Normalized kNN (full)	1.0	0.019344906134357256	0.0055925925925925934	0.035148221634332746	0.009271874268821293
4	1000	Random	1.0	0.0020099414579940332	6.666666666666666E-4	0.004137566137566137	0.0010959761915644269
4	1000	iMF (full)	1.0	0.026207781798185843	0.006703703703703704	0.04423728689006467	0.011209045848149735
4	1000	Popularity	1.0	0.014117985859664702	0.004370370370370371	0.026856114050558495	0.007185457810672809
4	1000	kNN (test)	1.0	0.017466602231568214	0.004703703703703704	0.030087375073486185	0.007820875739391392
4	1000	Normalized kNN (test)	1.0	0.014350581449660607	0.0035185185185185185	0.021300338036449148	0.005775148318663971
4	1000	kNN (full)	1.0	0.023845110803711753	0.00637037037037037	0.04033575837742504	0.010549511792975846
2	1000	Average Rating	1.0	0.004391781664567496	0.0016481481481481482	0.009574588477366254	0.002687227706233554
2	1000	iMF (test)	1.0	0.02531898861638253	0.0066851851851851855	0.04461250734861846	0.011182530333889123
2	1000	Normalized kNN (full)	1.0	0.01973721747901598	0.005407407407407408	0.036576572604350384	0.009074395881800423
2	1000	Random	1.0	0.001820179754082992	7.962962962962962E-4	0.003861111111111111	0.0012452177452177452
2	1000	iMF (full)	1.0	0.026023801723716388	0.006814814814814815	0.04567754262198707	0.011412093103484573
2	1000	Popularity	1.0	0.014097726673828366	0.0042592592592592595	0.02570487948265726	0.006979299771181436
2	1000	kNN (test)	1.0	0.017528190428016042	0.004611111111111112	0.029618018812463256	0.007648846485662791
2	1000	Normalized kNN (test)	1.0	0.015290201518862179	0.0035185185185185185	0.021743753674309228	0.005773354141431197
2	1000	kNN (full)	1.0	0.024478821129943682	0.006500000000000001	0.04191189006466784	0.01080432058067937
1	1000	Average Rating	1.0	0.003709738868269984	0.0015555555555555557	0.008798574368018812	0.0025250700563308063
1	1000	iMF (test)	1.0	0.02528844896216473	0.006759259259259259	0.04589153439153439	0.011340619499116232
1	1000	Normalized kNN (full)	1.0	0.01928832494010219	0.005296296296296296	0.03530643738977072	0.008865364664384274
1	1000	Random	1.0	0.0017779878726251206	6.851851851851853E-4	0.003184082892416226	0.001046106973394555
1	1000	iMF (full)	1.0	0.026045347532544054	0.007000000000000001	0.04665961199294533	0.011711527095514025
1	1000	Popularity	1.0	0.013802972636908625	0.004203703703703704	0.02586845972957084	0.006910455035670035
1	1000	kNN (test)	1.0	0.018204844054297703	0.004537037037037037	0.029774911816578487	0.007564789271488619
1	1000	Normalized kNN (test)	1.0	0.01520795899894877	0.003351851851851852	0.02351036155202822	0.005628933551319173
1	1000	kNN (full)	1.0	0.024652542703915353	0.006518518518518519	0.042624853027630805	0.01085936276072155
