target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	NaN	4.5499486823724026E-194	3.8323580773872645E-193	1.944836809901696E-181	1.6292322091963238E-197
1000	Average Rating	Random	NaN	2.1938145419041706E-6	1.6185139137903598E-9	1.913353312432988E-9	2.5236041014337605E-10
1000	Average Rating	kNN (full)	NaN	1.3014624120306938E-179	3.712576806418146E-183	7.060933645440834E-166	5.8100223695811056E-186
1000	Average Rating	Normalized kNN (full)	NaN	5.916742544932945E-132	3.030014433700969E-128	1.46551771281219E-120	3.0673747164491467E-131
1000	Average Rating	kNN (test)	NaN	1.4806491382141798E-103	3.746535472920329E-89	6.290856780667302E-86	1.3090601483946539E-91
1000	Average Rating	Popularity	NaN	1.4171001066800195E-80	8.080402183001955E-78	7.884324150375336E-69	1.2287446499807927E-78
1000	Average Rating	iMF (full)	NaN	7.682424997772614E-190	1.5052267694708751E-189	4.66985960991668E-179	1.1154240551304384E-193
1000	Average Rating	Normalized kNN (test)	NaN	1.1038398844811374E-68	2.7656605123817227E-40	5.5907868944905884E-42	9.297516888008782E-42
1000	iMF (test)	Random	NaN	2.4844130049834098E-224	7.445969752984474E-257	1.9300070155184209E-236	3.335880474188387E-263
1000	iMF (test)	kNN (full)	NaN	0.00981653582059306	0.1009958679543097	0.0014323159826957065	0.0402810750437955
1000	iMF (test)	Normalized kNN (full)	NaN	2.5419116957269468E-23	7.851575498413543E-21	1.318170237787973E-21	1.0365919201023428E-21
1000	iMF (test)	kNN (test)	NaN	9.182133601579132E-36	1.626355503211403E-44	3.639927456614686E-44	3.8862425035487855E-46
1000	iMF (test)	Popularity	NaN	5.474712036901571E-82	3.786916390327852E-63	1.842401269636124E-71	5.527922457209094E-68
1000	iMF (test)	iMF (full)	NaN	0.7299834161461948	0.6403968830112963	0.45172206930241665	0.5971287001408871
1000	iMF (test)	Normalized kNN (test)	NaN	4.783776306170749E-69	3.254819755832192E-114	4.408401573971817E-106	3.594627425876932E-117
1000	Random	kNN (full)	NaN	2.409547268132299E-208	7.465959612102344E-244	9.049069941619066E-220	2.0361699811655407E-249
1000	Random	Normalized kNN (full)	NaN	1.053787866261249E-160	1.0912589612602647E-184	5.454426070429153E-171	2.34873722547703E-190
1000	Random	kNN (test)	NaN	1.464551375359202E-128	5.572535301818666E-138	4.88073883004524E-131	3.6153650986452875E-143
1000	Random	Popularity	NaN	1.3291837545947855E-106	8.251666367228538E-124	2.5271941652680892E-111	2.1059192403903037E-127
1000	Random	iMF (full)	NaN	5.304335547380413E-220	1.0739887574870332E-255	2.950740068310592E-233	6.0650399968444E-261
1000	Random	Normalized kNN (test)	NaN	8.994964747386262E-90	3.2226269653300092E-78	9.821545789172317E-78	5.551103276761783E-82
1000	kNN (full)	Normalized kNN (full)	NaN	1.3895156602608316E-18	4.043142599677558E-18	6.406167353945476E-15	6.443930583610077E-18
1000	kNN (full)	kNN (test)	NaN	9.713363786291975E-31	1.5887222629321802E-40	2.4105451066480933E-35	6.817988676754235E-41
1000	kNN (full)	Popularity	NaN	2.389455720266998E-91	6.972974419884809E-79	1.669955441759982E-77	1.582735620887013E-82
1000	kNN (full)	iMF (full)	NaN	0.10054660876906829	0.32065705836360614	0.03529385714898298	0.19484999543554182
1000	kNN (full)	Normalized kNN (test)	NaN	3.9892589158568933E-66	1.3922792830225758E-113	9.50377486926006E-100	1.7653612276777116E-115
1000	Normalized kNN (full)	kNN (test)	NaN	2.165103162918129E-4	2.84500343481025E-11	1.5328164580132377E-10	1.468743777589135E-11
1000	Normalized kNN (full)	Popularity	NaN	7.830645318872458E-19	6.366969449665147E-17	9.733276292836212E-21	1.2427788258778192E-18
1000	Normalized kNN (full)	iMF (full)	NaN	1.2333681984505906E-19	2.4163455218627806E-17	1.0601536986077433E-17	4.908470785845535E-18
1000	Normalized kNN (full)	Normalized kNN (test)	NaN	2.7616816654018144E-20	2.122615127961514E-58	1.0685374959912441E-51	1.0295679451319427E-59
1000	kNN (test)	Popularity	NaN	2.2700602654224566E-8	0.036411760889211414	0.0012495728302196556	0.015494087345182601
1000	kNN (test)	iMF (full)	NaN	6.744531112553804E-31	1.350318845541147E-40	1.2905022549986215E-39	5.721756695859174E-42
1000	kNN (test)	Normalized kNN (test)	NaN	9.855785111741138E-12	5.137826358711074E-24	8.326298252015621E-21	1.2515153638354033E-24
1000	Popularity	iMF (full)	NaN	1.4760323606269093E-66	8.930201961321293E-56	4.968600680573753E-64	5.800876533688463E-60
1000	Popularity	Normalized kNN (test)	NaN	0.6294280795959781	1.3812317873473001E-12	1.9147321097666044E-7	6.204108054895409E-12
1000	iMF (full)	Normalized kNN (test)	NaN	5.695880741227151E-59	4.72557742795446E-105	2.1425572656209333E-96	1.0876455266544099E-107
