fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	1000	Average Rating	1.0	0.002165550834836766	0.0010555555555555557	0.004102480238359151	0.0015374772106224923
3	1000	iMF (test)	1.0	0.15559519192353014	0.05425925925925926	0.22793791002949007	0.08043910440636534
3	1000	Normalized kNN (full)	1.0	0.11051129774153545	0.043555555555555556	0.18191117914084962	0.0649411100798223
3	1000	Random	1.0	0.004644140453852957	0.0020555555555555557	0.007392543505638001	0.002823277626328919
3	1000	iMF (full)	1.0	0.16832430581626057	0.05681481481481482	0.23255280169622408	0.0834029596644595
3	1000	Popularity	1.0	0.09515328782078136	0.03564814814814815	0.14675062515265894	0.05246785349527822
3	1000	kNN (test)	1.0	0.1560135619985694	0.05251851851851852	0.21849454404572827	0.07757093111108525
3	1000	Normalized kNN (test)	1.0	0.0026748587551766495	0.0012962962962962963	0.0053645290017082835	0.0018123804231096657
3	1000	kNN (full)	1.0	0.16297891301753378	0.05524074074074074	0.22852003706351082	0.08135221278737308
2	1000	Average Rating	1.0	0.0022192007085439854	0.0010925925925925927	0.004089205276237851	0.001502672058636111
2	1000	iMF (test)	1.0	0.14932459009331042	0.052222222222222225	0.22333331701274478	0.07758524441826123
2	1000	Normalized kNN (full)	1.0	0.11232054447237814	0.043611111111111114	0.18725837603855966	0.06520144216951654
2	1000	Random	1.0	0.004551983541101389	0.0021296296296296298	0.007973246487074738	0.002888320042551379
2	1000	iMF (full)	1.0	0.1656561800302116	0.056018518518518516	0.23230347843775406	0.08251673319000147
2	1000	Popularity	1.0	0.09404217940217928	0.035555555555555556	0.149218629085167	0.05255417136159949
2	1000	kNN (test)	1.0	0.1532753320749501	0.0515925925925926	0.21556275453449938	0.07616570969422301
2	1000	Normalized kNN (test)	1.0	0.002309469446518456	8.148148148148149E-4	0.0033626807268972827	0.001155687107995907
2	1000	kNN (full)	1.0	0.16148652815472303	0.05475925925925926	0.22787859389155407	0.08062535976524765
1	1000	Average Rating	1.0	8.384406204741109E-4	4.814814814814815E-4	0.0017425879036134036	6.506285926895076E-4
1	1000	iMF (test)	1.0	0.15541934753081577	0.05383333333333333	0.2309031956655035	0.08015344573818754
1	1000	Normalized kNN (full)	1.0	0.11440734606309139	0.04377777777777778	0.18949499433935832	0.06545231757606412
1	1000	Random	1.0	0.0038738635577910277	0.0018703703703703705	0.0067114042223895875	0.002600272464104666
1	1000	iMF (full)	1.0	0.17283107043297982	0.057555555555555554	0.24402021502144705	0.08520160181170557
1	1000	Popularity	1.0	0.09195953854188141	0.034722222222222224	0.1456492362291674	0.05123638899641386
1	1000	kNN (test)	1.0	0.15412736513544759	0.051500000000000004	0.21879059812917426	0.07623942016836786
1	1000	Normalized kNN (test)	1.0	0.0018281474790254797	7.962962962962962E-4	0.004023532267891101	0.0011800071843230012
1	1000	kNN (full)	1.0	0.16282769868855426	0.05496296296296296	0.23301614406342833	0.08144183744067203
5	1000	Average Rating	1.0	0.0016536457453755096	7.037037037037038E-4	0.002894179894179894	0.0010021176777712726
5	1000	iMF (test)	1.0	0.15319300609491807	0.053777777777777785	0.2278107859489631	0.07977323848192347
5	1000	Normalized kNN (full)	1.0	0.11362236385816135	0.0442962962962963	0.1861766878597732	0.065919853211696
5	1000	Random	1.0	0.004081873853547111	0.001851851851851852	0.006811392537174383	0.0025666729921328744
5	1000	iMF (full)	1.0	0.1672800562645172	0.05655555555555556	0.23437295074165182	0.08325474708750524
5	1000	Popularity	1.0	0.09394612391385448	0.03553703703703704	0.14760245365434574	0.0522151633841417
5	1000	kNN (test)	1.0	0.15476263858896624	0.05218518518518519	0.21979684787195714	0.07705208606241032
5	1000	Normalized kNN (test)	1.0	0.0017445084491611049	8.333333333333334E-4	0.003488127861252702	0.0011464848917979293
5	1000	kNN (full)	1.0	0.16143217358298798	0.05507407407407408	0.22920276684116503	0.08096169688316182
4	1000	Average Rating	1.0	0.0018997901492690526	9.074074074074074E-4	0.003582561153976333	0.0012493062751408781
4	1000	iMF (test)	1.0	0.1497580012331626	0.05164814814814815	0.22192242909916327	0.0771323279541069
4	1000	Normalized kNN (full)	1.0	0.10953711837436075	0.04203703703703704	0.1802154033853569	0.06321078659607375
4	1000	Random	1.0	0.004210660063652788	0.0019629629629629632	0.007781698224351486	0.00268797818489664
4	1000	iMF (full)	1.0	0.16327387306483498	0.054907407407407405	0.23493668692984876	0.08146387761967065
4	1000	Popularity	1.0	0.0911746035415355	0.033944444444444444	0.14434085066040483	0.050253400276762256
4	1000	kNN (test)	1.0	0.14743104719595573	0.050277777777777775	0.21329419757130003	0.07453065507309738
4	1000	Normalized kNN (test)	1.0	0.0026257366231163463	0.0010555555555555557	0.0042900112887971015	0.0015024896727109777
4	1000	kNN (full)	1.0	0.15553849461533611	0.05407407407407407	0.22683644514889192	0.07994972758374846
