target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	3.5816985629448795E-65	3.2190527174112065E-57	6.562806626448747E-42	4.501312520704309E-57
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	NaN	1.9018260307458224E-16	8.578637461608736E-21	9.240330868582023E-14	4.173895278184396E-20
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	NaN	1.4661548147083627E-8	0.7686983221102989	0.9163471776685244	0.8462394533953465
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	NaN	2.35415104618739E-27	9.475711379437057E-34	5.682787738128649E-26	4.205191517287708E-34
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	NaN	3.9493471270118664E-281	3.365928414350218E-308	1.0937207018491966E-281	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	1.0206637273165361E-11	2.8753601135011117E-19	1.34008192983279E-12	9.138622757184617E-19
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	NaN	1.7471107505153027E-163	2.1327384859073423E-148	1.0100280800193219E-112	5.472616797942884E-152
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.702702633184609	0.4127606513396147	0.983118979959399	0.5628167656373204
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	2.888280437225322E-19	8.843641799621651E-33	2.2153793910988295E-24	7.578621948809868E-33
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	5.039354631037649E-69	2.1980364742315473E-68	6.307312524717641E-51	5.299618492193948E-68
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	NaN	1.2972775075981231E-14	1.231416474104041E-15	1.9826651665337964E-12	3.048308416305586E-16
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	NaN	2.9541459190808594E-17	5.44747740827773E-20	1.4212642197788658E-19	4.778235985546475E-22
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	NaN	3.307138492231865E-291	1.5814832E-316	2.4649713066607543E-291	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	NaN	4.970624418707404E-21	5.500372742382224E-44	4.334711094935186E-40	2.0365059914818788E-47
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	NaN	3.812691156814E-311	0.0	1.66E-321	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	NaN	0.24009928800144964	0.00773685692757323	0.016565030690837246	0.004855724510890401
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	1.0464739530500618E-4	1.5876661006932937E-10	1.1697579267013468E-7	9.685288203685193E-11
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	NaN	2.0779840816920545E-154	1.2965431528542098E-132	5.474975837094666E-102	2.5949500739121134E-136
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=1000, min=3)	NaN	2.968969463494767E-307	0.0	2.381216280435E-312	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=400)	NaN	2.4579320295319532E-20	3.006450994375125E-23	3.1772684936811475E-18	5.4926101787592316E-24
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	8.663420579260904E-17	1.2784028679387418E-28	1.578025384628222E-22	3.7699739507402593E-29
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=40)	NaN	5.277069450905423E-13	1.7301449147982235E-14	7.936526893163954E-11	2.8627473751752517E-14
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=3000)	NaN	0.08239148039676876	0.002229056845993175	0.006749477776105612	0.0014383145857920195
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=80)	NaN	1.2654503395457176E-25	6.159591472050167E-31	3.2856982219425444E-22	7.047391857420156E-31
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=10.0)	NaN	3.222712772517279E-13	4.8799649588964564E-26	4.727377044160853E-20	1.4287720258118677E-26
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=4000, min=3)	NaN	3.7658890263984103E-308	0.0	1.419806E-318	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=30, min=3)	NaN	9.263701585184601E-36	5.016895710082244E-13	2.1942943684385643E-8	5.420308628102468E-12
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=900)	NaN	4.4120509383343906E-11	1.9069118731941353E-12	4.4471181628273056E-10	4.910116103086803E-13
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=1.0, alpha=100.0)	NaN	6.2454769456403245E-31	6.436707789429484E-31	4.902313840838364E-23	3.8302815779604243E-31
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=100)	NaN	4.3438694878828245E-27	6.1443798017394234E-33	1.1243436201641447E-24	4.156519503789826E-33
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=100.0)	NaN	6.23634325842739E-67	8.999950083370545E-60	1.1306515157307089E-39	2.591507811694038E-57
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=900, min=3)	NaN	2.186878949812674E-306	0.0	8.8153322949234E-311	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=600, min=3)	NaN	1.7610945880094948E-302	0.0	1.4772296847617E-310	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=1000)	NaN	4.63590639432665E-10	3.347950042106063E-11	2.4296650564467277E-9	6.985915274014545E-12
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=5000, min=3)	NaN	9.44040786138365E-309	0.0	1.595476E-318	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=600)	NaN	2.3061512644700014E-16	1.4692633141082552E-17	2.0185778456698996E-14	2.7260629295637195E-18
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=30)	NaN	1.3935498293580261E-5	2.2485587538595937E-4	0.014562258967757	7.696431125442096E-4
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=10.0)	NaN	0.002966119022556256	7.4328758906646675E-9	3.2544302627632415E-6	4.019106556924541E-9
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=70)	NaN	1.609755741145599E-22	5.515757184181229E-29	4.32560830431058E-21	5.397255999133372E-29
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=100.0)	NaN	4.049791177728362E-74	5.602102189335796E-73	7.435330869536966E-47	6.291714061704187E-70
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=50, min=3)	NaN	2.3647939156020603E-102	1.4629806271425202E-74	1.055394305686317E-52	6.96220362413803E-74
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=1.0)	NaN	1.8891845151949018E-39	1.5605354768296728E-48	6.870270521898394E-35	1.1144684462950752E-47
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=1.0)	NaN	1.6423636406299325E-11	3.57740083198515E-18	1.129631155838603E-11	1.5492961925781164E-17
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=300)	NaN	2.517536154104152E-22	6.428630735606785E-26	7.665074279067477E-20	1.6676770974233588E-26
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=700, min=3)	NaN	4.164460092705544E-301	0.0	2.1598273130936706E-308	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=3000, min=3)	NaN	1.012943231972835E-308	0.0	3.332E-319	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=5000)	NaN	0.3009979491575554	0.01452384644586575	0.021696242785939696	0.007928439735596227
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=1.0)	NaN	4.919386737285825E-41	5.899413145876834E-50	1.822138333241932E-35	1.7348545570369084E-49
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Average Rating	NaN	6.0943482706542E-310	0.0	1.21066E-319	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=0.1, alpha=10.0)	NaN	0.8229604484150869	0.864293204153799	0.24321597317709565	0.5896785247837808
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=800, min=3)	NaN	1.0639175115601584E-304	0.0	1.2777870235E-314	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=100, min=3)	NaN	4.613783482254569E-198	9.298426512300102E-193	1.6537908957149682E-158	2.631843433009389E-203
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=10.0)	NaN	1.1555940159785799E-4	3.075618890850023E-9	1.663087028470859E-6	1.3938297568893243E-9
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=100.0)	NaN	1.5016847309658094E-69	1.907562352682881E-68	9.564990836368606E-48	2.4758702005093724E-67
