fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
2	1000	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.14773196009219125	0.05081481481481482	0.21075261155119923	0.07494339285351496
1	1000	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.14968044502122238	0.051148148148148144	0.2137359921698451	0.07548330259529268
5	1000	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.15091127496245518	0.05175925925925926	0.21638828152329995	0.07635998702445743
1	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1388798925821348	0.048240740740740744	0.20707192453477702	0.07178926607141645
2	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1371139171734755	0.04809259259259259	0.2064225796429653	0.07170644781674634
5	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1375975436063476	0.04777777777777778	0.20355294934391344	0.07091450999021448
1	1000	kNN (k=20)	1.0	0.1276224015501035	0.043000000000000003	0.18033287236517295	0.06331746141766101
2	1000	kNN (k=20)	1.0	0.13058635177874817	0.04357407407407408	0.17783715279481785	0.06362409992425196
5	1000	kNN (k=20)	1.0	0.12506402421471283	0.04288888888888889	0.17642167772597933	0.06284956658375984
1	1000	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.1519160122104163	0.051129629629629636	0.21915761456161775	0.07584086317390575
2	1000	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.14911891967058227	0.04998148148148149	0.21257937546107283	0.07412848044199649
5	1000	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.14780603340340026	0.05075925925925926	0.21416824291753675	0.07505762801847315
1	1000	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.1470582477522539	0.05057407407407408	0.22137953364014665	0.0757828795007744
2	1000	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.14319240885079054	0.04975925925925926	0.21341547851002088	0.0739772818546167
5	1000	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.13942588774972792	0.04955555555555556	0.21159682961969187	0.07372918469065654
1	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.17033681220641164	0.057296296296296303	0.24123190710572384	0.08460928587653604
2	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.16388114117762273	0.05596296296296296	0.2304959848463906	0.08211561700692208
