target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=30)	NaN	0.18746505770698507	0.8112866577328139	0.42107496961665813	0.9775900807063455
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	4.6328355464775767E-23	1.080320869089341E-19	8.977342104879071E-20	2.3076181578176312E-20
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	NaN	1.4841420883435194E-4	8.227013768680663E-4	0.02017573287289832	0.0014822112029032638
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=10.0)	NaN	0.19683831793216988	0.020476524279299784	0.25013138303688875	0.038583084043745615
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=70)	NaN	2.437405047411727E-5	3.5941629531118756E-5	0.0023832676764335547	7.728989504680587E-5
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	NaN	0.0014001544953425526	0.033299201057536996	0.004330606536304494	0.02033542036301734
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	NaN	1.1409157325150863E-5	3.490348825415554E-6	8.763972836484554E-4	8.954857581624808E-6
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	NaN	1.4415479022156656E-108	2.9310951214528766E-113	6.280417868082701E-112	7.012387669067684E-117
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	0.024975534069904586	0.06502745483614197	0.4709572636515016	0.11734870709434986
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=100.0)	NaN	2.7137158498837774E-21	2.5332814014095207E-18	8.783223179837974E-18	1.8812315877260185E-18
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=50, min=3)	NaN	7.431005592099968E-20	7.114768997550221E-15	1.9629538801335952E-13	4.17814050897282E-15
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	NaN	1.403909986168366E-42	1.1676512466523743E-32	1.162982144000528E-33	5.020230891750815E-34
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=1.0)	NaN	3.728231585529062E-9	3.463220368243166E-10	1.5182809194606112E-7	5.780478763761101E-10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.06129274825188395	0.014276873988163295	0.03768657967237336	0.014999646543820808
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	1.161513781028168E-9	2.3753949987766442E-11	3.851532813932154E-9	2.3142410507851355E-11
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	7.216581170008552E-16	4.4486740122048274E-15	2.557365649001871E-15	1.8411123821276115E-15
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	NaN	0.10895616072348135	0.026410595801705513	0.948180150892566	0.07865658630569229
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=1.0)	NaN	0.013544640019165092	0.04451611551796606	0.30957066354500573	0.076425102408055
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=300)	NaN	4.7525663285895986E-4	4.926037003775517E-5	0.018407361785000863	1.8447152170417218E-4
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=700, min=3)	NaN	1.6980862299133398E-115	2.9176673274689753E-133	1.4832889492569356E-129	1.1343951018675218E-137
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=3000, min=3)	NaN	7.656322520342836E-111	6.496363425747727E-126	2.1407989679298555E-120	3.882771767581247E-129
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	NaN	3.7954959436489316E-9	9.43761355611276E-14	1.8941852316578403E-15	1.259855491843644E-14
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=5000)	NaN	0.1962085697372803	0.38582732410551424	0.0017082333552950514	0.15286065099975188
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	NaN	5.519300649695721E-115	5.531752691494304E-121	1.587107740787033E-120	2.9048237728181694E-125
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=1.0)	NaN	4.480299743888532E-9	2.757877243803842E-9	4.704811691612466E-8	2.463629364969707E-9
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	NaN	6.202878223444844E-25	2.0531440891239978E-52	8.257767159587465E-52	1.2964887517135432E-54
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	NaN	2.2815367132321718E-114	8.72564357970795E-130	1.0237761426708448E-123	6.119061757248296E-133
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	NaN	0.23372402163926753	0.46545131084881675	0.0025763443335029127	0.19516647415427069
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Average Rating	NaN	3.784736784743341E-149	1.9208928319310103E-141	1.7340003191895438E-138	1.0370608663608072E-145
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=0.1, alpha=10.0)	NaN	0.8190157040584783	0.5178556861573287	0.2912558869141161	0.4841939035475471
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	0.3541531508513155	0.019999789315905864	0.27430575753362163	0.03667480624004038
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	NaN	6.796402171221818E-34	1.0606598078559387E-26	1.4302186650642955E-26	1.056657420588913E-27
