target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	1.0	0.6224074074074074	0.625	0.625	0.625
1000	Average Rating	Random	1.0	0.9742592592592593	0.9746296296296296	0.9746296296296296	0.9746296296296296
1000	Average Rating	kNN (full)	1.0	0.6124074074074074	0.615	0.615	0.615
1000	Average Rating	Normalized kNN (full)	0.9096296296296297	0.6662962962962963	0.6692592592592592	0.6692592592592592	0.6692592592592592
1000	Average Rating	kNN (test)	1.0	0.6257407407407407	0.6288888888888889	0.6288888888888889	0.6288888888888889
1000	Average Rating	Popularity	1.0	0.7238888888888889	0.7257407407407407	0.7257407407407407	0.7257407407407407
1000	Average Rating	iMF (full)	1.0	0.605925925925926	0.6087037037037037	0.6087037037037037	0.6087037037037037
1000	Average Rating	Normalized kNN (test)	1.0	0.9785185185185186	0.9816666666666667	0.9816666666666667	0.9816666666666667
1000	iMF (test)	Random	1.0	0.6225925925925926	0.6257407407407407	0.6257407407407407	0.6257407407407407
1000	iMF (test)	kNN (full)	1.0	0.5929629629629629	0.7694444444444445	0.7694444444444445	0.7694444444444445
1000	iMF (test)	Normalized kNN (full)	0.9096296296296297	0.5792592592592593	0.737037037037037	0.737037037037037	0.737037037037037
1000	iMF (test)	kNN (test)	1.0	0.5938888888888889	0.7670370370370371	0.7670370370370371	0.7670370370370371
1000	iMF (test)	Popularity	1.0	0.5798148148148148	0.6992592592592592	0.6992592592592592	0.6992592592592592
1000	iMF (test)	iMF (full)	1.0	0.6194444444444445	0.8125925925925926	0.8125925925925926	0.8125925925925926
1000	iMF (test)	Normalized kNN (test)	1.0	0.6211111111111111	0.6244444444444445	0.6244444444444445	0.6244444444444445
1000	Random	kNN (full)	1.0	0.6144444444444445	0.6196296296296296	0.6196296296296296	0.6196296296296296
1000	Random	Normalized kNN (full)	0.9096296296296297	0.6672222222222223	0.6727777777777778	0.6727777777777778	0.6727777777777778
1000	Random	kNN (test)	1.0	0.6274074074074074	0.6322222222222222	0.6322222222222222	0.6322222222222222
1000	Random	Popularity	1.0	0.7229629629629629	0.7279629629629629	0.7279629629629629	0.7279629629629629
1000	Random	iMF (full)	1.0	0.6068518518518519	0.6107407407407407	0.6107407407407407	0.6107407407407407
1000	Random	Normalized kNN (test)	1.0	0.9690740740740741	0.9698148148148148	0.9698148148148148	0.9698148148148148
1000	kNN (full)	Normalized kNN (full)	0.9096296296296297	0.6005555555555555	0.7864814814814814	0.7864814814814814	0.7864814814814814
1000	kNN (full)	kNN (test)	1.0	0.6688888888888889	0.865	0.865	0.865
1000	kNN (full)	Popularity	1.0	0.6124074074074074	0.7609259259259259	0.7609259259259259	0.7609259259259259
1000	kNN (full)	iMF (full)	1.0	0.6198148148148148	0.8194444444444444	0.8194444444444444	0.8194444444444444
1000	kNN (full)	Normalized kNN (test)	1.0	0.6107407407407407	0.6144444444444445	0.6144444444444445	0.6144444444444445
1000	Normalized kNN (full)	kNN (test)	0.9096296296296297	0.5987037037037037	0.7737037037037037	0.7737037037037037	0.7737037037037037
1000	Normalized kNN (full)	Popularity	0.9096296296296297	0.6129629629629629	0.7374074074074074	0.7374074074074074	0.7374074074074074
1000	Normalized kNN (full)	iMF (full)	0.9096296296296297	0.5875925925925926	0.7481481481481481	0.7481481481481481	0.7481481481481481
1000	Normalized kNN (full)	Normalized kNN (test)	0.9096296296296297	0.6637037037037037	0.6681481481481482	0.6681481481481482	0.6681481481481482
1000	kNN (test)	Popularity	1.0	0.6427777777777778	0.8112962962962963	0.8112962962962963	0.8112962962962963
1000	kNN (test)	iMF (full)	1.0	0.6257407407407407	0.8142592592592592	0.8142592592592592	0.8142592592592592
1000	kNN (test)	Normalized kNN (test)	1.0	0.6248148148148148	0.6292592592592593	0.6292592592592593	0.6292592592592593
1000	Popularity	iMF (full)	1.0	0.5855555555555556	0.7088888888888889	0.7088888888888889	0.7088888888888889
1000	Popularity	Normalized kNN (test)	1.0	0.7207407407407408	0.7242592592592593	0.7242592592592593	0.7242592592592593
1000	iMF (full)	Normalized kNN (test)	1.0	0.6040740740740741	0.6079629629629629	0.6079629629629629	0.6079629629629629
