fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	1000	Average Rating	1.0	0.00341713487498291	0.0014074074074074076	0.007731995884773663	0.002275400336072851
2	1000	Average Rating	1.0	0.004391781664567496	0.0016481481481481482	0.009574588477366254	0.002687227706233554
4	1000	Average Rating	1.0	0.004479413127496243	0.0018333333333333333	0.010006687242798355	0.0029571121427846574
5	1000	Average Rating	1.0	0.003888112803924726	0.0015185185185185187	0.008231995884773663	0.0024500960107685255
1	1000	Average Rating	1.0	0.003709738868269984	0.0015555555555555557	0.008798574368018812	0.0025250700563308063
1	1000	iMF (test)	1.0	0.025278324201694135	0.006555555555555555	0.0435055114638448	0.010970658547455934
2	1000	iMF (test)	1.0	0.02576386492895496	0.006944444444444444	0.04631929747207525	0.011619915479607603
4	1000	iMF (test)	1.0	0.025693482257292104	0.006722222222222223	0.044246252204585536	0.011233952352416405
3	1000	iMF (test)	1.0	0.025091617366529168	0.0066851851851851855	0.04393320105820105	0.011158051038769993
5	1000	iMF (test)	1.0	0.02429074665745127	0.006537037037037038	0.043796957671957674	0.010952769392311875
4	1000	Normalized kNN (full)	1.0	0.019209404920702184	0.005555555555555556	0.03477785126396238	0.009204534201481226
4	1000	Random	1.0	0.002822354336016916	9.814814814814816E-4	0.005640652557319224	0.0015670159542708563
5	1000	Normalized kNN (full)	1.0	0.019173168550824845	0.005296296296296296	0.03512411816578483	0.00886347751135333
5	1000	Random	1.0	0.0023832546189951364	8.703703703703704E-4	0.004472442680776014	0.0013733803717463848
1	1000	Normalized kNN (full)	1.0	0.019265519163366936	0.005277777777777778	0.035260141093474424	0.008838909637929247
1	1000	Random	1.0	0.0021450993488922963	7.777777777777778E-4	0.004036008230452675	0.0012396973559254262
2	1000	Normalized kNN (full)	1.0	0.019765627266587357	0.005407407407407408	0.03670002939447384	0.009079575886980428
2	1000	Random	1.0	0.003066403409237809	9.444444444444446E-4	0.005407848324514991	0.0015257019668784375
3	1000	Normalized kNN (full)	1.0	0.019251436346713866	0.005555555555555556	0.03461559376837155	0.009141602126294248
3	1000	Random	1.0	0.001958741375260482	7.037037037037038E-4	0.003406084656084656	0.0010902828108710462
4	1000	iMF (full)	1.0	0.024739809268358448	0.00662962962962963	0.04281775426219871	0.011035832381635616
5	1000	iMF (full)	1.0	0.026755689989731643	0.006944444444444444	0.04670943562610229	0.011663822530652597
4	1000	Popularity	1.0	0.014117985859664702	0.004370370370370371	0.026856114050558495	0.007185457810672809
5	1000	Popularity	1.0	0.014149614318744	0.004314814814814815	0.02671722516166961	0.007100080225295223
2	1000	iMF (full)	1.0	0.025476815113125217	0.006925925925925926	0.045037918871252205	0.011546790234698732
1	1000	iMF (full)	1.0	0.025146101835153367	0.006648148148148148	0.04485743680188125	0.011154123767083864
2	1000	Popularity	1.0	0.014097726673828366	0.0042592592592592595	0.02570487948265726	0.006979299771181436
3	1000	iMF (full)	1.0	0.024647594354042027	0.006759259259259259	0.044718474426807764	0.01131407130753536
1	1000	Popularity	1.0	0.013802972636908625	0.004203703703703704	0.02586845972957084	0.006910455035670035
3	1000	Popularity	1.0	0.01396709877931881	0.004240740740740741	0.02592092886537331	0.006959227251108917
4	1000	kNN (test)	1.0	0.017466602231568214	0.004703703703703704	0.030087375073486185	0.007820875739391392
5	1000	kNN (test)	1.0	0.01619906425298516	0.0043518518518518515	0.027115961199294533	0.007198736599880391
2	1000	kNN (test)	1.0	0.017528190428016042	0.004611111111111112	0.029618018812463256	0.007648846485662791
1	1000	kNN (test)	1.0	0.018204844054297703	0.004537037037037037	0.029774911816578487	0.007564789271488619
3	1000	kNN (test)	1.0	0.01799509644297809	0.004703703703703704	0.03109325396825397	0.007818129341005158
4	1000	Normalized kNN (test)	1.0	0.014553991182063996	0.0036666666666666666	0.022054453262786596	0.006024266159887074
5	1000	Normalized kNN (test)	1.0	0.014212764058251667	0.003574074074074074	0.02230335097001764	0.005894416373991538
2	1000	Normalized kNN (test)	1.0	0.015513847676463162	0.003574074074074074	0.02227873309817754	0.005884201302716954
3	1000	Normalized kNN (test)	1.0	0.01370560471281435	0.0033333333333333335	0.021852513227513228	0.005517442373651524
1	1000	Normalized kNN (test)	1.0	0.01453646199839049	0.003148148148148148	0.02184942680776014	0.005279573760782911
4	1000	kNN (full)	1.0	0.023845110803711753	0.00637037037037037	0.04033575837742504	0.010549511792975846
5	1000	kNN (full)	1.0	0.02408418969417622	0.00662962962962963	0.04350448265726043	0.011053457246482701
3	1000	kNN (full)	1.0	0.02407594961755323	0.006537037037037038	0.042962595532039974	0.01089998145575201
2	1000	kNN (full)	1.0	0.024478821129943682	0.006500000000000001	0.04191189006466784	0.01080432058067937
1	1000	kNN (full)	1.0	0.024652542703915353	0.006518518518518519	0.042624853027630805	0.01085936276072155
