fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	5	Average Rating	0.9655677655677657	0.648484955655537	0.46593406593406594	0.6588160485039255	0.46070218101439553
3	5	iMF (test)	0.9703296703296702	0.7645068976437791	0.5120879120879122	0.7032738320692054	0.5017464457555462
3	5	Normalized kNN (full)	0.6069597069597069	0.6036089415023523	0.41025641025641024	0.4674739099085217	0.37035731290496965
3	5	Random	0.9703296703296702	0.5365713956478672	0.38681318681318677	0.5850201337197606	0.3907648533789312
3	1	Average Rating	0.8315018315018315	0.739471997568409	0.5018315018315018	0.6982982207637124	0.4954521605825977
3	1	iMF (test)	0.834065934065934	0.7794934475713022	0.5223443223443224	0.7143817474902878	0.5117083056978899
3	5	iMF (full)	0.9703296703296702	0.7712781447011154	0.5186813186813186	0.7086999026147632	0.5072062422380794
3	5	Popularity	0.9655677655677657	0.6985600206701932	0.4835164835164835	0.6825713857773518	0.47980557711598254
3	5	kNN (test)	0.8120879120879121	0.7489271421666465	0.508058608058608	0.6818175908199154	0.4925298324312899
3	1	Normalized kNN (full)	0.5985347985347985	0.6101931795918758	0.4135531135531136	0.46934050485203976	0.372639645305239
3	1	Random	0.834065934065934	0.6427494023685018	0.4432234432234432	0.6560441211535135	0.450905515589721
3	5	Normalized kNN (test)	0.8051282051282052	0.7290483936215779	0.4897435897435897	0.6689733795564636	0.47873007223406566
3	5	kNN (full)	0.8695970695970696	0.7609321463079544	0.5117216117216117	0.6985097973559624	0.4997704265869499
3	1	iMF (full)	0.834065934065934	0.784827272656655	0.5234432234432235	0.7143664358238256	0.5122811743838472
3	1	Popularity	0.8315018315018315	0.7271449410286093	0.49413919413919416	0.696836563598053	0.4913838682100264
3	1	kNN (test)	0.7750915750915751	0.7601300084237594	0.5131868131868131	0.6890704570013532	0.49837472237868724
3	1	Normalized kNN (test)	0.7710622710622711	0.7589295824925258	0.5065934065934067	0.6860426743315331	0.49428307597826454
3	1	kNN (full)	0.8	0.7740704922495862	0.5175824175824176	0.707699776344078	0.5064485059013711
5	5	Average Rating	0.9622710622710622	0.6593176203325135	0.4802197802197802	0.6606613846352773	0.4627871646596763
5	5	iMF (test)	0.9655677655677657	0.7538500268634829	0.5128205128205128	0.6957239137856562	0.4941515127775551
5	5	Normalized kNN (full)	0.6106227106227106	0.5974454907603042	0.41282051282051285	0.4640554048247688	0.3640916939150646
5	5	Random	0.9655677655677657	0.5308283878355393	0.3941391941391941	0.5786806363772632	0.3887288941858537
5	1	Average Rating	0.832967032967033	0.7388589175794387	0.5106227106227107	0.6902809777470844	0.4901204537955165
5	5	iMF (full)	0.9655677655677657	0.7550155037769047	0.5113553113553113	0.6913813921668236	0.49114196342372013
5	5	Popularity	0.9622710622710622	0.6816143134133978	0.47326007326007324	0.6561963362141707	0.4588461696071894
5	5	kNN (test)	0.8146520146520146	0.7343523337244231	0.5007326007326007	0.6654745187028237	0.47645437646649647
5	1	iMF (test)	0.8336996336996336	0.7676668022541561	0.5194139194139195	0.7012710191695587	0.49954660286638874
5	1	Normalized kNN (full)	0.6029304029304029	0.6070401036452369	0.4164835164835165	0.4660050680647546	0.3665695616178982
5	5	Normalized kNN (test)	0.8032967032967033	0.7044772750574755	0.4908424908424908	0.6499795455801125	0.46834570343908205
5	1	Random	0.8336996336996336	0.6177590872094405	0.43223443223443225	0.6366305551414981	0.4310993663753498
5	5	kNN (full)	0.8677655677655678	0.7417872742841898	0.5062271062271062	0.6832461263771253	0.4861026769520841
