target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.2568306010928962	0.2568306010928962	0.2568306010928962	0.2568306010928962
500	Popularity	iMF (test)	0.0	0.28415300546448086	0.28415300546448086	0.28415300546448086	0.28415300546448086
500	Popularity	Random	0.0	0.3551912568306011	0.3551912568306011	0.3551912568306011	0.3551912568306011
500	Popularity	Normalized kNN (full)	0.0	0.2896174863387978	0.2896174863387978	0.2896174863387978	0.2896174863387978
500	Popularity	Normalized kNN (test)	0.0	0.3224043715846995	0.3224043715846995	0.3224043715846995	0.3224043715846995
500	Popularity	kNN (full)	0.0	0.2568306010928962	0.2568306010928962	0.2568306010928962	0.2568306010928962
500	Popularity	Average Rating	0.0	0.36065573770491804	0.36065573770491804	0.36065573770491804	0.36065573770491804
500	Popularity	iMF (full)	0.0	0.23497267759562843	0.23497267759562843	0.23497267759562843	0.23497267759562843
20	Popularity	Random	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
20	Popularity	Normalized kNN (test)	0.0	0.09289617486338798	0.09289617486338798	0.09289617486338798	0.09289617486338798
20	Popularity	iMF (full)	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
20	Popularity	iMF (test)	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
20	Popularity	kNN (test)	0.0	0.09289617486338798	0.09289617486338798	0.09289617486338798	0.09289617486338798
20	Popularity	kNN (full)	0.0	0.09289617486338798	0.09289617486338798	0.09289617486338798	0.09289617486338798
20	Popularity	Average Rating	0.0	0.09289617486338798	0.09289617486338798	0.09289617486338798	0.09289617486338798
20	Popularity	Normalized kNN (full)	0.0	0.08196721311475409	0.08196721311475409	0.08196721311475409	0.08196721311475409
10681	iMF (test)	Normalized kNN (full)	0.0	0.546448087431694	0.546448087431694	0.546448087431694	0.546448087431694
10681	iMF (test)	Popularity	0.0	0.4972677595628415	0.4972677595628415	0.4972677595628415	0.4972677595628415
10681	iMF (test)	Normalized kNN (test)	0.0	0.819672131147541	0.819672131147541	0.819672131147541	0.819672131147541
10681	iMF (test)	iMF (full)	0.0	0.45901639344262296	0.45901639344262296	0.45901639344262296	0.45901639344262296
10681	iMF (test)	Average Rating	0.0	0.7923497267759563	0.7923497267759563	0.7923497267759563	0.7923497267759563
10681	iMF (test)	kNN (full)	0.0	0.45901639344262296	0.45901639344262296	0.45901639344262296	0.45901639344262296
10681	iMF (test)	kNN (test)	0.0	0.4426229508196721	0.4426229508196721	0.4426229508196721	0.4426229508196721
10681	iMF (test)	Random	0.0	0.8360655737704918	0.8360655737704918	0.8360655737704918	0.8360655737704918
20	Random	Normalized kNN (test)	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
20	Random	iMF (full)	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
20	Random	iMF (test)	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
20	Random	kNN (test)	0.0	0.09289617486338798	0.09289617486338798	0.09289617486338798	0.09289617486338798
20	Random	kNN (full)	0.0	0.09289617486338798	0.09289617486338798	0.09289617486338798	0.09289617486338798
20	Random	Average Rating	0.0	0.09289617486338798	0.09289617486338798	0.09289617486338798	0.09289617486338798
20	Random	Normalized kNN (full)	0.0	0.1092896174863388	0.1092896174863388	0.1092896174863388	0.1092896174863388
50	Popularity	Normalized kNN (full)	0.0	0.15300546448087432	0.15300546448087432	0.15300546448087432	0.15300546448087432
50	Popularity	iMF (full)	0.0	0.13114754098360656	0.13114754098360656	0.13114754098360656	0.13114754098360656
50	Popularity	iMF (test)	0.0	0.14207650273224043	0.14207650273224043	0.14207650273224043	0.14207650273224043
50	Popularity	kNN (test)	0.0	0.14754098360655737	0.14754098360655737	0.14754098360655737	0.14754098360655737
50	Popularity	Normalized kNN (test)	0.0	0.14207650273224043	0.14207650273224043	0.14207650273224043	0.14207650273224043
50	Popularity	kNN (full)	0.0	0.14207650273224043	0.14207650273224043	0.14207650273224043	0.14207650273224043
50	Popularity	Random	0.0	0.14754098360655737	0.14754098360655737	0.14754098360655737	0.14754098360655737
50	Popularity	Average Rating	0.0	0.15846994535519127	0.15846994535519127	0.15846994535519127	0.15846994535519127
5	iMF (full)	Normalized kNN (full)	0.0	0.08196721311475409	0.08196721311475409	0.08196721311475409	0.08196721311475409
5	iMF (full)	Random	0.0	0.08196721311475409	0.08196721311475409	0.08196721311475409	0.08196721311475409
5	iMF (full)	Normalized kNN (test)	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
5	iMF (full)	Average Rating	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
5	iMF (full)	Popularity	0.0	0.08196721311475409	0.08196721311475409	0.08196721311475409	0.08196721311475409
5	iMF (full)	kNN (full)	0.0	0.08743169398907104	0.08743169398907104	0.08743169398907104	0.08743169398907104
