target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	2.7814394411736874E-207	1.3815694573253586E-196	2.5689845649764964E-128	7.933070269959763E-193
500	Popularity	iMF (test)	NaN	5.934043909571538E-15	3.4963859457102387E-10	0.03749434018637613	5.804182892081554E-4
500	Popularity	Random	NaN	0.0	1.9E-322	5.64757545002049E-265	0.0
500	Popularity	Normalized kNN (full)	4.0115209278271476E-108	1.1026242233756589E-15	2.1890316458292392E-15	2.5544209265302007E-19	7.69921182385887E-28
500	Popularity	Normalized kNN (test)	NaN	4.8981111962608785E-239	4.720542814929355E-190	1.6107996568700441E-125	4.290095585212397E-192
500	Popularity	kNN (full)	NaN	1.8305739821463318E-199	6.658909777949732E-187	2.3159944848456193E-122	4.1298286431891755E-185
500	Popularity	Average Rating	NaN	0.0	1.6576398441654753E-296	4.667404834899854E-238	0.0
500	Popularity	iMF (full)	NaN	3.2623787132928568E-177	3.2443743876801326E-181	4.957760827916486E-127	3.9203211615552826E-185
20	Popularity	Random	NaN	0.0	0.0	3.265060038067784E-262	0.0
20	Popularity	Normalized kNN (test)	7.377775862033699E-4	7.177939627690024E-7	0.8755026321210407	0.05224253182713603	0.07980021150248576
20	Popularity	iMF (full)	NaN	7.651641690832628E-77	3.45605100530376E-71	5.2288851858981676E-31	4.89654773018866E-61
20	Popularity	iMF (test)	NaN	1.7084034013689755E-49	2.0818967745093637E-62	1.0704747703280154E-35	1.5047759504609667E-53
20	Popularity	kNN (test)	2.5300224876820754E-12	3.618456127761452E-120	1.3005654080743075E-91	5.659378283734843E-50	1.8134564892886225E-79
20	Popularity	kNN (full)	4.0012799638279643E-25	5.447019489186981E-99	4.017035872968002E-83	8.790813603707014E-38	1.4438171450101833E-67
20	Popularity	Average Rating	NaN	2.9398193042961876E-112	1.2643970376334836E-72	1.4636398591622297E-77	9.119362585580984E-90
20	Popularity	Normalized kNN (full)	7.140928247288792E-250	7.821410312367012E-44	1.1675369216608558E-56	6.178889464957011E-121	1.1039298023953786E-102
20	Random	Normalized kNN (test)	7.377775862033699E-4	0.0	0.0	8.037400725518792E-252	0.0
20	Random	iMF (full)	NaN	0.0	0.0	1.729E-320	0.0
20	Random	iMF (test)	NaN	0.0	0.0	4.2944E-320	0.0
20	Random	kNN (test)	2.5300224876820754E-12	0.0	0.0	3.913E-321	0.0
20	Random	kNN (full)	4.0012799638279643E-25	0.0	0.0	2.7996526E-317	0.0
20	Random	Average Rating	NaN	1.8465509003233567E-169	1.154338270394508E-202	2.8279224460686284E-131	3.0514224771446874E-189
20	Random	Normalized kNN (full)	7.140928247288792E-250	1.0242028061668218E-192	1.0641852069732523E-148	4.03295601834942E-30	9.722841531899183E-94
50	Popularity	Normalized kNN (full)	5.8048937349376145E-236	2.2623186163488704E-9	2.7457695288145176E-17	8.389950760422342E-64	2.3839450565855567E-44
50	Popularity	iMF (full)	NaN	7.289489834626171E-124	4.945811755343431E-118	1.5928308982758312E-72	5.887361054861889E-112
50	Popularity	iMF (test)	NaN	5.674967225856675E-28	1.9677609236740224E-38	3.195418435411214E-25	4.9753657458223604E-36
50	Popularity	kNN (test)	NaN	1.2694496896280289E-163	7.960341693731356E-141	2.6576247985229492E-79	1.0426154064347162E-128
50	Popularity	Normalized kNN (test)	NaN	1.0162052528870777E-59	1.245480693043686E-31	1.2284700149838266E-30	2.1942184087965674E-38
50	Popularity	kNN (full)	6.593082065034304E-4	7.319769743603551E-147	3.753057302654707E-134	6.3670191090126614E-83	3.6308699801974534E-120
50	Popularity	Random	NaN	0.0	0.0	3.763158295733846E-308	0.0
50	Popularity	Average Rating	NaN	2.3520491255047196E-234	2.4360502468871143E-184	1.5845887501907877E-156	4.963669310774191E-200
