fold	target size	expected intersection ratio in top n
3	100	0.08160077399599089
2	100	0.08159562327531847
5	100	0.08155271675038478
2	5	0.4659030133476379
2	50	0.13937458990941534
3	3671	0.0028384148991756272
3	500	0.020489755986083148
1	5	0.46272041037162376
3	1000	0.010664304224694868
1	100	0.08148730961942062
1	1	0.5396669052776907
2	1	0.5420612983960255
2	2000	0.005522314294634772
3	5	0.4651069392839537
3	200	0.04644717217068721
1	0	0.5556521804441947
3	50	0.13937591127471924
3	2000	0.0055254912139788585
2	3671	0.0028384215615886994
2	200	0.04646396769903751
1	20	0.25541644967918536
1	2	0.5225461045886977
2	2	0.5252569578290535
2	0	0.5576191467253088
2	1000	0.010669192436798777
1	50	0.1391114418550868
2	20	0.25600110477477944
4	50	0.1392046841078048
1	10	0.36154749563876587
4	200	0.04656395793669164
1	1000	0.010680801028503476
5	200	0.04665597032020162
4	0	0.5582393777942342
4	20	0.25599910357894357
2	10	0.36305412685804905
4	1	0.5419174461997845
4	1000	0.01065960519416835
4	3671	0.002838224172113487
3	1	0.5417774274700555
2	500	0.02047785996850353
4	5	0.4653631352982098
1	200	0.046622370568742064
4	100	0.0815527718381095
4	2000	0.005519858923944718
1	2000	0.005524707289939324
5	50	0.13923436922109297
4	500	0.020478769401930517
5	1	0.5399906952200194
5	3671	0.0028382627667724704
1	3671	0.0028381165244450433
3	2	0.5241175219145702
5	0	0.5562664532581317
5	2	0.5228675889327876
3	0	0.5582228402193052
5	1000	0.01066178885832317
5	5	0.4640653152469918
4	10	0.3623111136314112
1	500	0.020515486617585742
5	2000	0.005516364489470557
5	500	0.020471260614367718
3	20	0.25605304742516716
4	2	0.5247719014588962
5	20	0.2558130557792221
3	10	0.3622280805611297
5	10	0.36260409311250197
