target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	5.796255238204193E-15	7.06015340817544E-39	8.632796372243826E-67	1.020383016411892E-71
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	0.0	3.6167758923409324E-94	1.4402883851551835E-94	8.66133764959963E-110	5.1890870101516E-142
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	4.327481275942792E-14	1.1363092125512202E-103	8.801997051876059E-59	0.6423270001642787	1.5291001575463785E-9
20	Popularity	iMF (full)	NaN	0.0	0.0	1.6225409311141016E-146	7.177421790590992E-294
20	Popularity	iMF (test)	NaN	0.0	0.0	3.6928369860561734E-241	0.0
20	Popularity	kNN (test)	3.3163132269763537E-66	0.0	0.0	1.8243865482332298E-134	5.103103088321031E-276
20	Popularity	kNN (full)	4.1027914310776053E-168	0.0	1.073009202171783E-285	6.375263248839396E-63	6.5849425274277E-191
20	Popularity	Average Rating	NaN	2.7888009461452146E-41	2.281831509241906E-66	3.4046197583491664E-195	6.005481216829158E-166
20	Popularity	Normalized kNN (full)	0.0	4.629984072666378E-22	4.5648631551479414E-100	0.0	9.493051163476961E-253
20	Random	Normalized kNN (test)	4.327481275942792E-14	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	3.3163132269763537E-66	0.0	0.0	0.0	0.0
20	Random	kNN (full)	4.1027914310776053E-168	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	0.0	0.0	0.0	2.158070497791806E-219	0.0
50	Popularity	Normalized kNN (full)	0.0	0.012488262813809447	3.5856111919291654E-47	2.379121006283079E-243	6.032625269821066E-164
50	Popularity	iMF (full)	NaN	0.0	0.0	2.6709559582340764E-238	0.0
50	Popularity	iMF (test)	NaN	0.0	0.0	1.5663707426423818E-299	0.0
50	Popularity	kNN (test)	1.361956939232434E-10	0.0	0.0	4.372325460801927E-251	0.0
50	Popularity	Normalized kNN (test)	NaN	6.621301511234487E-67	3.0033198273622403E-43	0.001323297394378876	5.438819195004539E-15
50	Popularity	kNN (full)	2.1797667037020223E-85	0.0	0.0	4.428100824327661E-191	0.0
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	1.008410022754624E-217	5.65777728186228E-20	9.901362224144912E-6	5.929085899189477E-9	3.052316636507824E-10
5	iMF (full)	Average Rating	0.3173505742162299	6.393691542051885E-83	5.711797625754169E-65	6.140083287341963E-68	9.103972693181653E-84
5	iMF (full)	Popularity	0.3173505742162299	1.1244305674183406E-117	2.661093709674831E-112	7.076223543724458E-38	2.965260827082935E-76
5	iMF (full)	kNN (full)	0.0	6.244330744489907E-14	4.560892722656823E-14	2.607827373432932E-44	2.138468245174359E-31
5	iMF (full)	kNN (test)	4.216360156836297E-275	0.46078908213437086	0.047752772444008336	2.2804815695049794E-6	0.0030389134628050103
