fold	target size	expected intersection ratio in top n
3	5	0.5912499721282627
3	2000	0.005095984489761182
5	5	0.5857279383697311
5	2000	0.005095724084594621
4	5	0.5856200320564892
2	5	0.5865113828616348
4	2000	0.0050968990729628166
3	50	0.1539251408577603
1	5	0.5921419661083185
2	2000	0.005097846799475626
5	50	0.15366344207599653
3	20	0.2982057512352641
3	1	0.6813130922232795
1	2000	0.005099030851310381
4	50	0.1537885032558832
5	20	0.29677705040462204
5	1	0.674768083369502
3	2913	0.003536724164801262
2	50	0.15418159708490545
4	20	0.2967488075077136
4	1	0.6752681667781995
5	2913	0.0035367374111262046
1	50	0.15502822728222485
2	20	0.29888866886328064
2	1	0.6822784213964297
4	2913	0.003536943193107107
3	200	0.04678886252315561
1	20	0.30081095614729136
1	1	0.6884513656309067
2	100	0.08697258971069857
2	2913	0.0035372721720317107
5	200	0.0467745106774508
3	10	0.4487928053394753
3	2	0.661305542393034
1	2913	0.0035373740692725484
1	100	0.08711509426405424
4	200	0.04679424377111718
5	10	0.4480349797600462
5	2	0.6552788810806438
5	100	0.08668762976920874
2	200	0.046876637374713113
3	1000	0.010082100303628164
4	10	0.4463236705134994
4	2	0.6554464168648341
3	100	0.08690859961538142
4	100	0.0867591820881745
1	200	0.04691859352671657
2	10	0.4501788885026361
5	1000	0.010079616478715065
1	10	0.453661524557015
2	2	0.660995648454082
3	0	0.6991080447523418
2	0	0.7010493461764091
5	0	0.6926099740340297
4	1000	0.01008419324930801
1	2	0.6677527715350419
4	0	0.6944575415196476
1	0	0.7085698318832059
2	1000	0.010084065629782495
3	500	0.01975537922194832
1	1000	0.01008720652521826
5	500	0.01975918082018565
4	500	0.01975720753943971
2	500	0.019773160864653846
1	500	0.01977545471653224
