target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.12631578947368421	0.12631578947368421	0.12631578947368421	0.12631578947368421
500	Popularity	iMF (test)	0.0	0.15263157894736842	0.15263157894736842	0.15263157894736842	0.15263157894736842
500	Popularity	Random	0.0	0.18947368421052632	0.18947368421052632	0.18947368421052632	0.18947368421052632
500	Popularity	Normalized kNN (full)	0.0	0.08947368421052632	0.08947368421052632	0.08947368421052632	0.08947368421052632
500	Popularity	Normalized kNN (test)	0.0	0.16842105263157894	0.16842105263157894	0.16842105263157894	0.16842105263157894
500	Popularity	kNN (full)	0.0	0.08947368421052632	0.08947368421052632	0.08947368421052632	0.08947368421052632
500	Popularity	Average Rating	0.0	0.1736842105263158	0.1736842105263158	0.1736842105263158	0.1736842105263158
500	Popularity	iMF (full)	0.0	0.07631578947368421	0.07631578947368421	0.07631578947368421	0.07631578947368421
20	Popularity	Random	0.0	0.013157894736842105	0.013157894736842105	0.013157894736842105	0.013157894736842105
20	Popularity	Normalized kNN (test)	0.0	0.015789473684210527	0.015789473684210527	0.015789473684210527	0.015789473684210527
20	Popularity	iMF (full)	0.0	0.015789473684210527	0.015789473684210527	0.015789473684210527	0.015789473684210527
20	Popularity	iMF (test)	0.0	0.015789473684210527	0.015789473684210527	0.015789473684210527	0.015789473684210527
20	Popularity	kNN (test)	0.0	0.015789473684210527	0.015789473684210527	0.015789473684210527	0.015789473684210527
20	Popularity	kNN (full)	0.0	0.015789473684210527	0.015789473684210527	0.015789473684210527	0.015789473684210527
20	Popularity	Average Rating	0.0	0.015789473684210527	0.015789473684210527	0.015789473684210527	0.015789473684210527
20	Popularity	Normalized kNN (full)	0.0	0.015789473684210527	0.015789473684210527	0.015789473684210527	0.015789473684210527
2913	kNN (test)	iMF (full)	0.0	0.20789473684210527	0.20789473684210527	0.20789473684210527	0.20789473684210527
2913	kNN (test)	Popularity	0.0	0.33421052631578946	0.33421052631578946	0.33421052631578946	0.33421052631578946
2913	kNN (test)	kNN (full)	0.0	0.23157894736842105	0.23157894736842105	0.23157894736842105	0.23157894736842105
2913	kNN (test)	Average Rating	0.0	0.35789473684210527	0.35789473684210527	0.35789473684210527	0.35789473684210527
