target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.19736842105263158	0.5078947368421053	0.5078947368421053	0.5078947368421053
500	Popularity	iMF (test)	1.0	0.17105263157894737	0.32894736842105265	0.32894736842105265	0.32894736842105265
500	Popularity	Random	1.0	0.20789473684210527	0.2394736842105263	0.2394736842105263	0.2394736842105263
500	Popularity	Normalized kNN (full)	1.0	0.08947368421052632	0.28421052631578947	0.28421052631578947	0.28421052631578947
500	Popularity	Normalized kNN (test)	1.0	0.19210526315789472	0.3	0.3	0.3
500	Popularity	kNN (full)	1.0	0.10526315789473684	0.3105263157894737	0.3105263157894737	0.3105263157894737
500	Popularity	Average Rating	1.0	0.2026315789473684	0.24736842105263157	0.24736842105263157	0.24736842105263157
500	Popularity	iMF (full)	1.0	0.08947368421052632	0.29736842105263156	0.29736842105263156	0.29736842105263156
20	Popularity	Random	1.0	0.018421052631578946	0.10789473684210527	0.10789473684210527	0.10789473684210527
20	Popularity	Normalized kNN (test)	1.0	0.039473684210526314	0.4105263157894737	0.4105263157894737	0.4105263157894737
20	Popularity	iMF (full)	1.0	0.07894736842105263	0.4342105263157895	0.4342105263157895	0.4342105263157895
20	Popularity	iMF (test)	1.0	0.06315789473684211	0.4842105263157895	0.4842105263157895	0.4842105263157895
20	Popularity	kNN (test)	1.0	0.14210526315789473	0.5710526315789474	0.5710526315789474	0.5710526315789474
20	Popularity	kNN (full)	1.0	0.09210526315789473	0.5105263157894737	0.5105263157894737	0.5105263157894737
20	Popularity	Average Rating	1.0	0.034210526315789476	0.3026315789473684	0.3026315789473684	0.3026315789473684
20	Popularity	Normalized kNN (full)	1.0	0.05	0.2789473684210526	0.2789473684210526	0.2789473684210526
2913	kNN (test)	iMF (full)	1.0	0.2394736842105263	0.4710526315789474	0.4710526315789474	0.4710526315789474
2913	kNN (test)	Popularity	1.0	0.3736842105263158	0.5789473684210527	0.5789473684210527	0.5789473684210527
2913	kNN (test)	kNN (full)	1.0	0.28157894736842104	0.5473684210526316	0.5473684210526316	0.5473684210526316
2913	kNN (test)	Average Rating	1.0	0.35789473684210527	0.3736842105263158	0.3736842105263158	0.3736842105263158
2913	kNN (test)	Random	1.0	0.35	0.3605263157894737	0.3605263157894737	0.3605263157894737
2913	kNN (test)	iMF (test)	1.0	0.35526315789473684	0.43157894736842106	0.43157894736842106	0.43157894736842106
2913	kNN (test)	Normalized kNN (full)	1.0	0.2868421052631579	0.43157894736842106	0.43157894736842106	0.43157894736842106
2913	kNN (test)	Normalized kNN (test)	1.0	0.35526315789473684	0.37105263157894736	0.37105263157894736	0.37105263157894736
20	Random	Normalized kNN (test)	1.0	0.021052631578947368	0.12105263157894737	0.12105263157894737	0.12105263157894737
20	Random	iMF (full)	1.0	0.015789473684210527	0.06842105263157895	0.06842105263157895	0.06842105263157895
20	Random	iMF (test)	1.0	0.02631578947368421	0.10526315789473684	0.10526315789473684	0.10526315789473684
20	Random	kNN (test)	1.0	0.013157894736842105	0.0868421052631579	0.0868421052631579	0.0868421052631579
20	Random	kNN (full)	1.0	0.015789473684210527	0.07894736842105263	0.07894736842105263	0.07894736842105263
20	Random	Average Rating	1.0	0.021052631578947368	0.16052631578947368	0.16052631578947368	0.16052631578947368
20	Random	Normalized kNN (full)	1.0	0.031578947368421054	0.16052631578947368	0.16052631578947368	0.16052631578947368
50	Popularity	Normalized kNN (full)	1.0	0.04736842105263158	0.26052631578947366	0.26052631578947366	0.26052631578947366
50	Popularity	iMF (full)	1.0	0.05789473684210526	0.3368421052631579	0.3368421052631579	0.3368421052631579
50	Popularity	iMF (test)	1.0	0.04473684210526316	0.35526315789473684	0.35526315789473684	0.35526315789473684
50	Popularity	kNN (test)	1.0	0.11578947368421053	0.47368421052631576	0.47368421052631576	0.47368421052631576
50	Popularity	Normalized kNN (test)	1.0	0.03684210526315789	0.3078947368421053	0.3078947368421053	0.3078947368421053
50	Popularity	kNN (full)	1.0	0.07105263157894737	0.3684210526315789	0.3684210526315789	0.3684210526315789
50	Popularity	Random	1.0	0.03684210526315789	0.07105263157894737	0.07105263157894737	0.07105263157894737
50	Popularity	Average Rating	1.0	0.031578947368421054	0.16842105263157894	0.16842105263157894	0.16842105263157894
5	iMF (full)	Normalized kNN (full)	1.0	0.09473684210526316	0.5105263157894737	0.5105263157894737	0.5105263157894737
5	iMF (full)	Random	1.0	0.018421052631578946	0.3236842105263158	0.3236842105263158	0.3236842105263158
5	iMF (full)	Normalized kNN (test)	1.0	0.12368421052631579	0.6026315789473684	0.6026315789473684	0.6026315789473684
5	iMF (full)	Average Rating	1.0	0.06842105263157895	0.5210526315789473	0.5210526315789473	0.5210526315789473
5	iMF (full)	Popularity	1.0	0.1368421052631579	0.6105263157894737	0.6105263157894737	0.6105263157894737
5	iMF (full)	kNN (full)	1.0	0.19736842105263158	0.6842105263157895	0.6842105263157895	0.6842105263157895
5	iMF (full)	kNN (test)	1.0	0.18947368421052632	0.6789473684210526	0.6789473684210526	0.6789473684210526
5	iMF (full)	iMF (test)	1.0	0.15263157894736842	0.6078947368421053	0.6078947368421053	0.6078947368421053
2913	iMF (full)	Popularity	1.0	0.24210526315789474	0.35526315789473684	0.35526315789473684	0.35526315789473684
2913	iMF (full)	kNN (full)	1.0	0.23157894736842105	0.5078947368421053	0.5078947368421053	0.5078947368421053
2913	iMF (full)	Average Rating	1.0	0.29210526315789476	0.3105263157894737	0.3105263157894737	0.3105263157894737
2913	iMF (full)	Random	1.0	0.28157894736842104	0.2894736842105263	0.2894736842105263	0.2894736842105263
2913	iMF (full)	iMF (test)	1.0	0.28421052631578947	0.3394736842105263	0.3394736842105263	0.3394736842105263
2913	iMF (full)	Normalized kNN (full)	1.0	0.22631578947368422	0.4026315789473684	0.4026315789473684	0.4026315789473684
