target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (full/test)	NaN	5.147163009453264E-24	4.848147540604625E-24	1.8147405281361344E-17	1.7620845446970026E-25
500	Popularity	iMF (test)	NaN	9.66484563137187E-14	7.494686976514738E-11	1.0192209080493428E-8	1.551858350381121E-11
500	Popularity	Random	NaN	1.9862673341935964E-43	7.167053864156885E-40	1.0156911591010384E-33	4.396804772488642E-46
500	Popularity	Normalized kNN (full)	1.0761241629037072E-5	6.309898217979706E-4	2.2176527089193885E-5	3.180217193639995E-6	5.262374239846605E-7
500	Popularity	Normalized kNN (test)	NaN	1.171920216584132E-28	9.990154763124079E-24	4.689799803656511E-19	9.320194433493855E-27
500	Popularity	Average Rating	NaN	6.881804299671003E-32	9.149393887730026E-32	2.20201763285218E-27	3.337262166904215E-36
500	Popularity	iMF (full)	NaN	1.3103210529218093E-26	8.436952919323823E-26	1.4048857087454557E-25	1.5585894194846154E-31
20	Popularity	Random	NaN	9.794904204664576E-39	2.592148976951439E-41	1.6143847293059598E-29	8.443740542667536E-41
20	Popularity	Normalized kNN (test)	0.010097246087193605	4.705220384594549E-4	0.22076384658247517	0.035596803119249135	0.05505585897286852
20	Popularity	iMF (full)	NaN	9.135860450569867E-18	7.300433852225621E-13	4.886645511068924E-11	6.355739728433451E-13
20	Popularity	iMF (test)	NaN	0.5040548365487698	0.3434329558959289	0.9638550270372536	0.4927350939196764
20	Popularity	kNN (full/test)	0.013333550755279365	1.2084981686974632E-14	2.326030073725374E-11	1.565950733141873E-7	1.443057189993706E-10
20	Popularity	Average Rating	NaN	3.641525761459754E-31	1.3925777671529597E-22	9.114195155941602E-22	1.297129938161229E-25
20	Popularity	Normalized kNN (full)	2.040541958479203E-33	0.11433199590662313	0.004557111252781619	9.096983508790577E-11	1.934031745900662E-7
20	Random	Normalized kNN (test)	0.010097246087193605	6.423438367100085E-32	1.9071052859663584E-40	1.448402494055038E-25	6.995132509866504E-40
20	Random	iMF (full)	NaN	9.170425900577096E-62	4.3571756065889445E-56	2.687598239769676E-42	3.2369350712177913E-57
20	Random	iMF (test)	NaN	4.699690994851526E-37	5.752365085018802E-42	8.12305891385103E-28	5.647767620903509E-42
20	Random	kNN (full/test)	0.013333550755279365	4.435932775966163E-58	1.320074506482373E-54	2.1010849174787877E-40	2.3613270802623985E-55
20	Random	Average Rating	NaN	4.206284666490515E-5	1.9924555222024893E-8	3.582542597360339E-4	6.489262800706208E-7
20	Random	Normalized kNN (full)	2.040541958479203E-33	2.5591464123458044E-37	1.841331635098244E-28	4.810998499173012E-13	6.82384911334723E-24
50	Popularity	Normalized kNN (full)	8.975654382272581E-29	0.2534240954531153	0.32477648607570075	6.148308601543232E-6	0.00383022037053861
50	Popularity	iMF (full)	NaN	4.205685143651682E-18	2.441790198170089E-16	1.6514246049812579E-12	3.238547102025559E-16
50	Popularity	iMF (test)	NaN	0.15595859972981918	0.5277505119968218	0.38289066925539306	0.34112405976377946
50	Popularity	kNN (full/test)	NaN	1.2751434615512078E-15	6.162194168448568E-14	4.56089097901947E-8	4.5251416321372887E-13
50	Popularity	Normalized kNN (test)	NaN	3.2510253391461366E-16	2.652347515304105E-10	3.032406353214788E-9	1.0549799594585462E-11
50	Popularity	Random	NaN	2.092613209294152E-53	5.171816160790472E-51	5.7595553110199584E-43	2.1567088067698314E-52
50	Popularity	Average Rating	NaN	6.615204709304055E-43	8.50488809067929E-39	4.9507450749682416E-34	2.9574178504462107E-42
5	iMF (full)	Normalized kNN (full)	2.1901743738369418E-36	8.930225680912924E-21	1.6446306885738277E-23	1.1830697096730112E-24	8.503191364945741E-26
5	iMF (full)	Random	NaN	1.9368473401517617E-43	1.5728400216952512E-34	1.3060416539176995E-27	6.285912385064905E-33
5	iMF (full)	Normalized kNN (test)	2.203847785745097E-12	1.0910482574199505E-4	0.003853981375312994	5.088423511143218E-4	0.0014666639513077405
5	iMF (full)	Average Rating	0.003677715282086684	1.1078167190222474E-20	2.1023287079371095E-13	3.519106327622951E-9	2.2109099298674464E-12
5	iMF (full)	kNN (full/test)	1.3692328931840286E-11	0.5846135004473664	1.0	0.18873575801004072	0.5241966071601579
5	iMF (full)	Popularity	0.003677715282086684	1.027341432843085E-8	1.1734947985748587E-7	1.198505850338084E-5	4.290379184955005E-7
5	iMF (full)	iMF (test)	NaN	0.06430357134200802	0.4435975968142939	0.5036967655946272	0.43263084121533746
2000	Normalized kNN (test)	iMF (test)	NaN	8.424426066404357E-5	1.1084132144415706E-4	0.0012774901835900943	1.80724701953081E-5
2000	Normalized kNN (test)	Popularity	NaN	7.504963076040066E-21	1.4594343225011463E-19	4.809818149389686E-16	2.829677834651325E-21
2000	Normalized kNN (test)	Random	NaN	0.0016692644037058187	7.231294469506623E-4	0.05442404921991192	0.004209026151538765
2000	Normalized kNN (test)	kNN (full/test)	NaN	2.0642076945186643E-38	4.0670289913767855E-35	1.0849358374756862E-29	4.616207100297839E-40
2000	Normalized kNN (test)	Average Rating	NaN	0.006001758291096962	0.31840415852254533	0.7214652327440463	0.5020922395804548
2000	Normalized kNN (test)	iMF (full)	NaN	5.488894193538507E-42	5.490896438842755E-40	2.598383108561884E-32	2.2159397006558245E-45
2000	Normalized kNN (test)	Normalized kNN (full)	NaN	5.9697121256259995E-27	3.177420901728727E-28	1.0813506045198113E-18	1.7683998804072735E-27
200	Average Rating	iMF (full)	NaN	3.156998902249706E-72	2.7758293742172186E-62	2.3099352631052976E-56	1.6998509029782538E-71
200	Average Rating	Popularity	NaN	7.182146271980499E-42	8.618773026331114E-39	8.010235206946045E-35	1.6388601772211088E-44
200	Average Rating	iMF (test)	NaN	2.2651238451737815E-29	7.619458815473827E-32	1.9255074587900771E-25	2.0711435930314233E-34
200	Average Rating	Random	NaN	7.290082677107758E-5	2.810649580170614E-4	0.0384775017801483	0.008290076973759464
200	Average Rating	Normalized kNN (full)	7.344946425980064E-15	1.6775738818111966E-53	1.7968518731721861E-47	8.321861439928481E-40	2.230015879856732E-51
200	Average Rating	kNN (full/test)	NaN	8.198788251042835E-67	6.999370175534158E-57	1.2299890719304982E-51	2.2871675814648517E-64
200	Average Rating	Normalized kNN (test)	NaN	5.032547240705486E-16	5.2240090411574926E-21	7.451794296849625E-15	5.0203462169039214E-21
20	Normalized kNN (test)	iMF (full)	0.010097246087193605	2.058768293563482E-24	8.23679698125973E-15	2.0885831586206556E-12	2.713397705466045E-15
20	Normalized kNN (test)	iMF (test)	0.010097246087193605	0.0015902172574138653	0.018081069313376254	0.01970754108833781	0.007221555832965504
20	Normalized kNN (test)	kNN (full/test)	0.34692903121094587	9.080451448834638E-27	3.280689646687699E-16	1.3575290778124107E-11	1.113962668170719E-15
20	Normalized kNN (test)	Average Rating	0.010097246087193605	1.9251121635017612E-36	3.701955072766291E-32	8.623379177185014E-24	1.3133580423470675E-31
20	Normalized kNN (test)	Normalized kNN (full)	1.7732077379522647E-33	0.05910781212740209	0.06367641399676079	4.598148655599867E-6	2.0302621203080733E-4
0	Normalized kNN (full)	Random	1.9092210248346493E-32	0.0047161711578941525	4.505023524070593E-4	4.1031124894086877E-16	9.178087163753362E-11
0	Normalized kNN (full)	iMF (test)	1.9092210248346493E-32	1.7904025894936159E-22	3.1601468428709677E-27	1.6708404152179504E-28	7.018101735940563E-30
0	Normalized kNN (full)	Popularity	8.981398630365018E-32	5.2626943716358994E-12	4.2549508773979407E-13	3.0314081494672476E-23	1.7676239022690348E-20
0	Normalized kNN (full)	Average Rating	8.981398630365018E-32	3.5961005856642855E-17	6.187983743168005E-21	1.1948018883227947E-26	6.69547760609409E-26
0	Normalized kNN (full)	iMF (full)	1.9092210248346493E-32	3.7741536213022597E-22	2.490693408930738E-24	1.2423766032573778E-26	3.920103562701792E-27
0	Normalized kNN (full)	Normalized kNN (test)	1.4119507426778482E-30	1.2476324163108878E-18	6.113957524603206E-23	4.487187340664465E-27	9.800345521106588E-27
