target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.5862962962962963	0.7842592592592592	0.7842592592592592	0.7842592592592592
500	Popularity	iMF (test)	1.0	0.5198148148148148	0.68	0.68	0.68
500	Popularity	Random	1.0	0.6557407407407407	0.6692592592592592	0.6692592592592592	0.6692592592592592
500	Popularity	Normalized kNN (full)	0.4577777777777778	0.5738888888888889	0.7357407407407407	0.7357407407407407	0.7357407407407407
500	Popularity	Normalized kNN (test)	1.0	0.6555555555555556	0.6596296296296297	0.6596296296296297	0.6596296296296297
500	Popularity	kNN (full)	1.0	0.5516666666666666	0.7385185185185185	0.7385185185185185	0.7385185185185185
500	Popularity	Average Rating	1.0	0.6462962962962963	0.6561111111111111	0.6561111111111111	0.6561111111111111
500	Popularity	iMF (full)	1.0	0.5285185185185185	0.7012962962962963	0.7012962962962963	0.7012962962962963
20	Popularity	Random	1.0	0.3909259259259259	0.56	0.56	0.56
20	Popularity	Normalized kNN (test)	1.0	0.38481481481481483	0.6625925925925926	0.6625925925925926	0.6625925925925926
20	Popularity	iMF (full)	1.0	0.3998148148148148	0.6888888888888889	0.6888888888888889	0.6888888888888889
20	Popularity	iMF (test)	1.0	0.402037037037037	0.682037037037037	0.682037037037037	0.682037037037037
20	Popularity	kNN (test)	1.0	0.4674074074074074	0.742037037037037	0.742037037037037	0.742037037037037
20	Popularity	kNN (full)	0.9664814814814815	0.43777777777777777	0.7214814814814815	0.7214814814814815	0.7214814814814815
20	Popularity	Average Rating	1.0	0.39166666666666666	0.6407407407407407	0.6407407407407407	0.6407407407407407
20	Popularity	Normalized kNN (full)	0.008148148148148147	0.4698148148148148	0.6229629629629629	0.6229629629629629	0.6229629629629629
20	Random	Normalized kNN (test)	1.0	0.3787037037037037	0.5596296296296296	0.5596296296296296	0.5596296296296296
20	Random	iMF (full)	1.0	0.3524074074074074	0.5090740740740741	0.5090740740740741	0.5090740740740741
20	Random	iMF (test)	1.0	0.3524074074074074	0.5072222222222222	0.5072222222222222	0.5072222222222222
20	Random	kNN (test)	1.0	0.357962962962963	0.5207407407407407	0.5207407407407407	0.5207407407407407
20	Random	kNN (full)	0.9664814814814815	0.36148148148148146	0.5235185185185185	0.5235185185185185	0.5235185185185185
20	Random	Average Rating	1.0	0.39481481481481484	0.5807407407407408	0.5807407407407408	0.5807407407407408
20	Random	Normalized kNN (full)	0.008148148148148147	0.4488888888888889	0.5790740740740741	0.5790740740740741	0.5790740740740741
50	Popularity	Normalized kNN (full)	0.010555555555555556	0.49	0.6533333333333333	0.6533333333333333	0.6533333333333333
50	Popularity	iMF (full)	1.0	0.4198148148148148	0.6864814814814815	0.6864814814814815	0.6864814814814815
50	Popularity	iMF (test)	1.0	0.41259259259259257	0.6788888888888889	0.6788888888888889	0.6788888888888889
50	Popularity	kNN (test)	1.0	0.47185185185185186	0.7390740740740741	0.7390740740740741	0.7390740740740741
50	Popularity	Normalized kNN (test)	1.0	0.4087037037037037	0.5833333333333334	0.5833333333333334	0.5833333333333334
50	Popularity	kNN (full)	1.0	0.44907407407407407	0.7146296296296296	0.7146296296296296	0.7146296296296296
50	Popularity	Random	1.0	0.44055555555555553	0.5159259259259259	0.5159259259259259	0.5159259259259259
50	Popularity	Average Rating	1.0	0.43666666666666665	0.5407407407407407	0.5407407407407407	0.5407407407407407
5	iMF (full)	Normalized kNN (full)	0.006666666666666667	0.41555555555555557	0.46703703703703703	0.46703703703703703	0.46703703703703703
5	iMF (full)	Random	1.0	0.3616666666666667	0.8814814814814815	0.8814814814814815	0.8814814814814815
5	iMF (full)	Normalized kNN (test)	0.9585185185185185	0.4292592592592593	0.9303703703703704	0.9303703703703704	0.9303703703703704
5	iMF (full)	Average Rating	1.0	0.4025925925925926	0.9218518518518518	0.9218518518518518	0.9218518518518518
5	iMF (full)	Popularity	1.0	0.4640740740740741	0.9111111111111111	0.9111111111111111	0.9111111111111111
5	iMF (full)	kNN (full)	0.23	0.5575925925925926	0.8770370370370371	0.8770370370370371	0.8770370370370371
