target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	7.779860234430995E-203	9.141901732758204E-191	1.2154242170234206E-158	3.3805372005472467E-197
500	Popularity	iMF (test)	NaN	3.306920301162691E-120	5.7662787880451435E-133	4.723497445105238E-118	3.5616544289168065E-141
500	Popularity	Random	NaN	2.9672026766309235E-266	8.208896419498937E-283	7.167406419599821E-271	5.05952767014354E-310
500	Popularity	Normalized kNN (full)	NaN	4.640837906951711E-30	7.497591296904695E-44	1.5666403589749077E-35	5.609160364971845E-48
500	Popularity	Normalized kNN (test)	NaN	1.5542720256883893E-276	8.25653923644009E-290	3.920406833375073E-270	1.7214831042E-313
500	Popularity	kNN (full)	NaN	9.490752774870095E-194	1.699510459813338E-186	1.231061572766615E-162	1.9318920374534935E-200
500	Popularity	Average Rating	NaN	1.0738632017617898E-248	1.1796593690374307E-250	6.687741517154818E-228	3.9461811402043295E-271
500	Popularity	iMF (full)	NaN	2.5009389817732612E-192	1.2252137360041828E-177	1.576313995870373E-155	4.65044465876212E-191
20	Popularity	Random	NaN	1.7544257873110812E-219	2.0009027102940848E-157	1.5663494267461446E-148	3.074878070495976E-169
20	Popularity	Normalized kNN (test)	NaN	4.773855923907834E-6	1.3457127163458247E-7	2.8666256649953344E-9	5.777819302675969E-9
20	Popularity	iMF (full)	NaN	7.65113747E-315	8.810582803971068E-213	5.468665476810796E-213	3.329536895290769E-235
20	Popularity	iMF (test)	NaN	1.7326546E-317	2.0052264040064946E-232	1.2522992229434473E-242	5.0940340280089826E-260
20	Popularity	kNN (test)	NaN	3.95886206120196E-288	1.6604623379203383E-219	1.1692787546583327E-211	3.5544981906487536E-237
20	Popularity	kNN (full)	NaN	8.764144475319047E-237	2.4186606736257735E-174	3.20713197782975E-163	1.839358040117913E-188
20	Popularity	Average Rating	NaN	2.79329463591227E-76	3.377142882708418E-11	1.0405216018743028E-8	1.6205051854313023E-11
20	Popularity	Normalized kNN (full)	NaN	3.37523226939061E-7	0.044511373877850105	4.518775148156226E-5	0.004189182250114661
20	Random	Normalized kNN (test)	NaN	1.011687601461502E-203	2.652478473390692E-230	8.301820732182546E-210	6.88615963387082E-244
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	2.310203119608448E-87	1.53248218631852E-123	2.3958687601373515E-103	4.213987018794825E-127
20	Random	Normalized kNN (full)	NaN	6.42457451933781E-243	7.297739745722726E-143	6.12944753280057E-116	7.027233398250792E-147
50	Popularity	Normalized kNN (full)	NaN	2.161693195538707E-13	9.903625398631538E-62	1.2116984547877096E-66	2.3279680381688586E-72
50	Popularity	iMF (full)	NaN	1.455079482944837E-181	4.636804480460241E-177	3.1948541079964765E-151	1.4172389352807293E-188
50	Popularity	iMF (test)	NaN	7.989944395804713E-153	9.730443528868151E-173	3.2456661924029053E-156	4.955810010977158E-186
50	Popularity	kNN (test)	NaN	7.647829542986935E-203	4.619258743905909E-162	2.4070492236754867E-147	2.5034253722928137E-174
50	Popularity	Normalized kNN (test)	NaN	2.667812060038423E-273	1.3160049323735892E-143	1.0484146024993414E-107	4.0544720352076317E-147
50	Popularity	kNN (full)	NaN	1.4884762913988395E-135	5.753384299390969E-100	1.927501339247798E-83	4.04497540826249E-105
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	2.9972823345806176E-248	3.871383095420667E-238	7.527350272806281E-270
5	iMF (full)	Normalized kNN (full)	NaN	1.2124156859593628E-151	5.014493112228272E-66	1.891128495248997E-45	3.3804008215305496E-67
5	iMF (full)	Random	NaN	0.0	1.9696213458206E-86	5.698795372775231E-73	1.5464392096501865E-92
5	iMF (full)	Normalized kNN (test)	NaN	6.542791411891446E-89	5.645597637627077E-15	6.561782353779081E-7	4.350574017202094E-13
5	iMF (full)	Average Rating	NaN	1.126552459924111E-109	5.1315913639522754E-24	3.12116255777866E-14	7.869122121237631E-23
5	iMF (full)	Popularity	NaN	1.3200319671042892E-179	6.985206054901066E-63	2.425446120320286E-47	3.483623009041048E-64
5	iMF (full)	kNN (full)	NaN	1.602612836920437E-6	3.3928394511265927E-7	0.001531749213902952	7.145429136678415E-7
5	iMF (full)	kNN (test)	NaN	0.004103294834981301	1.4308202501983591E-6	0.007564078564160889	1.6648812339068056E-5
5	iMF (full)	iMF (test)	NaN	2.8769004074646054E-6	0.04131494099102492	0.21911721289610253	0.027020592834682666
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	0.0021354130311550517	0.029192384865635877	0.0773756165078604	0.021957750844045356
200	Average Rating	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Normalized kNN (test)	NaN	1.4433970051239406E-11	5.2175025598548895E-12	2.305231515940053E-12	1.0105653189602693E-13
20	Normalized kNN (test)	iMF (full)	NaN	3.668E-320	1.0415928638945695E-185	6.101177985783238E-156	4.5243209290457586E-201
20	Normalized kNN (test)	iMF (test)	NaN	0.0	3.4438170242143707E-215	1.0834336720630203E-185	2.0500947125431076E-233
20	Normalized kNN (test)	kNN (test)	NaN	4.705973668676629E-213	7.513982012051853E-145	8.110361740694949E-123	8.539709835709163E-156
20	Normalized kNN (test)	kNN (full)	NaN	5.473190078479616E-218	5.726330735242631E-120	8.291053570455785E-87	3.799352104277615E-123
20	Normalized kNN (test)	Average Rating	NaN	2.5941712728756816E-112	4.316631746383077E-60	5.9351887155480786E-55	3.1986164801487993E-64
20	Normalized kNN (test)	Normalized kNN (full)	NaN	8.188385717556044E-18	2.678178360196669E-12	1.3919755524156184E-20	1.3518575565189943E-16
0	Normalized kNN (full)	kNN (full)	NaN	7.431232366038172E-19	2.0156930329890555E-6	1.0064441732039118E-5	3.4537702350761584E-6
0	Normalized kNN (full)	Random	NaN	2.121134638556247E-29	3.5587806279191756E-9	6.18581874478882E-7	2.400907253589736E-9
0	Normalized kNN (full)	iMF (test)	NaN	2.865885097732965E-35	8.257619627413382E-13	1.2326530453116828E-7	2.7278283749538515E-12
0	Normalized kNN (full)	Popularity	NaN	1.6103588713663788E-4	0.042157439106789533	0.8909683334693026	0.25786916729203957
0	Normalized kNN (full)	Average Rating	NaN	1.5777131638903853E-6	0.014090423450131081	0.04918505453720799	0.011885234206627427
0	Normalized kNN (full)	iMF (full)	NaN	7.005496350265598E-27	2.5436312621656363E-8	2.3886024076174606E-6	3.0899099574767136E-8
0	Normalized kNN (full)	kNN (test)	NaN	7.642746692602585E-15	2.59976873915088E-4	3.13633535938507E-5	7.423248637413319E-5
0	Normalized kNN (full)	Normalized kNN (test)	NaN	5.782566315101859E-16	1.0753734068247589E-5	4.957806668267391E-4	1.0795102318916734E-5
50	Normalized kNN (full)	iMF (full)	NaN	3.090658130774101E-250	0.0	3.145203E-317	0.0
50	Normalized kNN (full)	iMF (test)	NaN	3.9538244158483185E-233	0.0	0.0	0.0
50	Normalized kNN (full)	kNN (test)	NaN	2.6126902965678463E-203	4.906712855778902E-286	2.3507443225760178E-272	6.450256432461825E-309
50	Normalized kNN (full)	Normalized kNN (test)	NaN	7.987398620030617E-196	2.4821636463626787E-32	1.7799306877506463E-13	1.3593181819699284E-27
50	Normalized kNN (full)	kNN (full)	NaN	5.381626173928261E-217	1.4678138260639946E-268	2.574562911660023E-239	3.395976546962734E-287
50	Normalized kNN (full)	Random	NaN	1.0E-322	4.027518601011211E-246	3.627313490370062E-219	1.3572499911569377E-264
50	Normalized kNN (full)	Average Rating	NaN	5.907305558011572E-259	9.347074528981252E-102	1.988920131979077E-81	1.3908183812127689E-104
100	kNN (test)	Popularity	NaN	7.407092578381591E-184	1.9970011092082896E-156	4.2649069760944053E-131	2.2980636650439526E-164
100	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	iMF (full)	NaN	1.4940660717760185E-24	4.822698574447159E-16	2.9173809945126803E-5	8.481330625625329E-13
100	kNN (test)	iMF (test)	NaN	2.315738205237348E-11	3.7401533734669847E-17	3.757219471647762E-9	6.323616866940768E-16
100	kNN (test)	Normalized kNN (full)	NaN	2.9363202416939643E-156	1.2184066692051975E-250	2.7485605634920898E-242	2.0945718089914927E-273
100	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	kNN (full)	NaN	5.895360904316296E-4	0.3040187917652196	2.907570178249497E-4	0.04624583728353468
0	kNN (full)	Random	NaN	4.245736629756066E-64	2.471327248561766E-16	2.9406123317677734E-16	1.935334859373066E-17
0	kNN (full)	iMF (test)	NaN	7.431476482503313E-9	0.0011721970962842152	0.058180072593722335	0.0036183422780135376
0	kNN (full)	Popularity	NaN	2.404302077041754E-44	6.073480384060811E-11	5.419816410711194E-7	3.7233357627931536E-10
0	kNN (full)	Average Rating	NaN	0.05147047425692206	0.04137424482477691	0.012854691931421247	0.03618369330183258
0	kNN (full)	iMF (full)	NaN	3.0205767392891945E-4	0.27732973781195724	0.3443426244477443	0.27514386047998696
0	kNN (full)	kNN (test)	NaN	0.21450436224356917	0.12839093426850157	0.7542504539463208	0.25361295490592517
0	kNN (full)	Normalized kNN (test)	NaN	0.14482235346310945	1.0	0.3663678345665433	0.9809778955570293
100	Popularity	Normalized kNN (test)	NaN	0.0	5.985768000003619E-293	4.550659223139E-264	2.0739676923E-314
100	Popularity	iMF (full)	NaN	7.278902768455291E-168	6.99782342486699E-143	9.29086722149301E-113	2.2546576856407613E-149
100	Popularity	iMF (test)	NaN	5.6230072343982E-130	1.1027349273497873E-134	3.0904419336607416E-119	1.6396470632491102E-144
100	Popularity	Normalized kNN (full)	NaN	4.745148067435544E-5	6.325098002848377E-42	1.1485853048427691E-52	1.0069384638985173E-51
100	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
100	Popularity	Random	NaN	0.0	0.0	0.0	0.0
100	Popularity	kNN (full)	NaN	1.523399718644755E-137	7.64185764326842E-101	1.9646602236441284E-76	2.287575339982076E-103
50	iMF (full)	iMF (test)	NaN	0.6455072006198781	0.20909208617108077	0.018020064182452125	0.09693424988516386
50	iMF (full)	kNN (test)	NaN	5.666852142178002E-25	5.513244375727601E-34	1.4745138538230756E-13	4.871805467019909E-30
50	iMF (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
50	iMF (full)	kNN (full)	NaN	1.4199738286132652E-19	9.82848783080014E-44	1.639903182828121E-26	2.0009221806387065E-42
50	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
50	iMF (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	iMF (test)	NaN	0.520933850560729	8.769322478344287E-4	7.140208730154518E-4	8.785761645176155E-4
500	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	Normalized kNN (full)	NaN	3.329311104381239E-61	1.6952285908221076E-40	9.121854635885705E-34	8.762303646987462E-42
500	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	kNN (full)	NaN	1.6229144702785268E-11	5.85752819229118E-14	3.2387978450014127E-10	4.571644745300903E-13
500	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	iMF (full)	NaN	8.802759284029792E-20	4.6037059476076225E-19	4.0126109348424206E-14	4.0270005129490416E-18
100	Normalized kNN (test)	iMF (full)	NaN	0.0	0.0	0.0	0.0
100	Normalized kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
100	Normalized kNN (test)	Normalized kNN (full)	NaN	3.1327181118849392E-291	1.5430267414397423E-180	4.946862430692415E-136	1.957935412315993E-188
100	Normalized kNN (test)	Average Rating	NaN	1.8147423024191881E-56	2.894311129195781E-23	6.145644884301496E-25	7.238692292972864E-27
100	Normalized kNN (test)	Random	NaN	5.2695484348471286E-36	4.6609759919112364E-63	6.287447606794098E-58	2.130028439427772E-67
100	Normalized kNN (test)	kNN (full)	NaN	0.0	0.0	0.0	0.0
2	kNN (test)	iMF (full)	NaN	0.21002316676387145	0.07336317719954295	0.5527603100921546	0.1795443390863819
2	kNN (test)	Random	NaN	3.2310023527089706E-282	1.3805467647918105E-32	1.959323449719814E-26	7.050977538342252E-33
2	kNN (test)	kNN (full)	NaN	0.05664644579673013	0.882799237425137	0.5667359147024706	0.9004015422100679
2	kNN (test)	Average Rating	NaN	2.700868483809533E-115	3.1311679468482883E-12	2.0025045396995442E-8	1.2469198122953699E-11
2	kNN (test)	Popularity	NaN	1.1763521970570084E-109	4.212585225740718E-24	2.822247237640206E-14	1.2115795777994813E-22
2	kNN (test)	iMF (test)	NaN	8.535014503386896E-10	1.0374933110671288E-6	0.005539572599795442	3.5883642482918377E-6
2	kNN (test)	Normalized kNN (test)	NaN	2.319395760632999E-24	0.010288351509763257	0.02580565041580306	0.014026259400495573
2	kNN (test)	Normalized kNN (full)	NaN	3.6744736407032777E-103	1.682938663668716E-17	1.8147398351772473E-14	1.0284834924533309E-18
200	kNN (test)	iMF (full)	NaN	7.379533828286646E-38	3.535482754931681E-28	2.785702360989089E-12	1.6703517502836977E-24
200	kNN (test)	kNN (full)	NaN	6.33704031173316E-11	2.7659001755277578E-5	0.24311961112778946	7.881171442603144E-4
200	kNN (test)	Popularity	NaN	1.7108500528213134E-200	5.686089488502583E-126	2.170169175852782E-99	6.271773876444791E-131
200	kNN (test)	iMF (test)	NaN	2.3270690743090694E-14	2.61885231694818E-18	1.9068511434300216E-11	1.070806515799559E-17
200	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
200	kNN (test)	Normalized kNN (full)	NaN	1.6272146778202206E-105	7.7327304412299E-167	2.03536116320921E-158	9.82884691863628E-182
200	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
2	iMF (full)	Random	NaN	5.534037695147526E-293	1.008483258030232E-36	2.004383401511449E-27	8.171407590630616E-37
2	iMF (full)	kNN (full)	NaN	0.008729074607653445	0.14441595097425675	0.35210241976432666	0.2068629054274278
2	iMF (full)	Average Rating	NaN	7.673697875135287E-113	3.16445783829258E-14	8.499274019574369E-9	5.661699697959903E-13
2	iMF (full)	Popularity	NaN	1.561400578933171E-81	6.909250501272983E-23	1.795859046906613E-15	1.7160642163564697E-22
2	iMF (full)	iMF (test)	NaN	6.908124773661739E-9	9.646440356260372E-5	0.008938129841195058	6.412664673621099E-5
2	iMF (full)	Normalized kNN (test)	NaN	4.471267264567984E-25	2.596874106940825E-4	0.017978563365467312	0.001384582201986094
2	iMF (full)	Normalized kNN (full)	NaN	2.846134961709619E-107	3.4770596972078895E-22	4.2685669345288935E-15	3.2693603360542746E-22
10	Average Rating	iMF (full)	NaN	1.6427314437797574E-177	7.31039515726748E-70	9.913370079207336E-42	4.730878072570802E-68
10	Average Rating	Normalized kNN (test)	NaN	4.841448794168156E-8	1.8372018331137662E-31	1.2033968615497184E-24	1.0422149706379975E-32
