====================
Dataset: yahoo
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.17034814814814814	0.17078148148148148	0.1698037037037037	0.17004444444444444	0.16827407407407408	0.17004444444444444	0.16950740740740738	0.16805185185185184	0.16696296296296295
1	0.16990740740740742	0.1701814814814815	0.16925925925925928	0.16967777777777776	0.16682592592592593	0.16934814814814816	0.16767407407407406	0.16698518518518518	0.16490740740740742
2	0.16928888888888888	0.16983333333333334	0.1685703703703704	0.1691814814814815	0.1648555555555556	0.16837037037037036	0.16481851851851853	0.16632592592592593	0.1618962962962963
5	0.16625555555555557	0.1672925925925926	0.1650259259259259	0.16616666666666668	0.156	0.1640185185185185	0.15782962962962963	0.15995925925925927	0.14931481481481482
10	0.1591	0.1617222222222222	0.15517407407407408	0.1575037037037037	0.13025555555555557	0.15099259259259262	0.13876296296296298	0.14193333333333333	0.11217407407407406
20	0.14975185185185186	0.15241851851851854	0.14381111111111114	0.14748888888888886	0.10265555555555557	0.12171851851851852	0.11215185185185186	0.12714444444444445	0.0691962962962963
50	0.13793703703703705	0.13844074074074075	0.12941851851851852	0.13684074074074076	0.08165185185185185	0.06992222222222222	0.05838888888888889	0.11592222222222222	0.033607407407407405
100	0.12633703703703703	0.12660370370370372	0.11846296296296296	0.12525555555555554	0.07210370370370371	0.03038148148148148	0.018833333333333334	0.09644444444444446	0.017562962962962964
200	0.10395185185185185	0.10322962962962964	0.09788518518518521	0.09905185185185185	0.06592222222222223	0.0073851851851851865	0.005837037037037037	0.07348518518518518	0.008955555555555557
500	0.07551481481481481	0.07247037037037038	0.07191481481481482	0.06821111111111111	0.05743703703703703	0.0021000000000000003	0.002137037037037037	0.051114814814814814	0.0038592592592592593
1000	0.056759259259259266	0.05319259259259259	0.05482222222222223	0.05161481481481482	0.04345555555555556	9.592592592592593E-4	8.481481481481482E-4	0.035081481481481484	0.002051851851851852

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6665698433272271	0.6672264163353524	0.6656823056440404	0.6664108790191603	0.661480907935827	0.6662249770585257	0.6651907170710192	0.6620386510592282	0.659213398654804
1	0.6657703219453331	0.6661921833688539	0.6645158403192417	0.6655959716014751	0.6592650055796374	0.6649587464638246	0.6619558353088884	0.659966766601396	0.6550636697326213
2	0.6643270010569735	0.6653932443823982	0.663267932604305	0.6647073096575662	0.6549599958725689	0.663392546911089	0.6570221586797927	0.6587857460804727	0.6489408158255908
5	0.6577734666274997	0.6599001431127169	0.6554292341048227	0.6587629817159459	0.6329345947959949	0.6546447356935475	0.6400073653851222	0.6444355098967607	0.6172880029563217
10	0.6358637092330791	0.6435936774398174	0.6238649884933615	0.6352428675363553	0.5347339725897626	0.6182674800035347	0.5693361893578708	0.5850683523938749	0.466676446093014
