====================
Dataset: ml100k/female-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.7999267399267399	0.7999267399267399	0.7941391941391942	0.7772893772893774	0.5991941391941392	0.7718681318681319	0.798974358974359	0.798974358974359	0.7999267399267399
1	0.8440293040293041	0.8440293040293041	0.8127472527472527	0.7872527472527473	0.6011721611721612	0.7800732600732599	0.8416849816849817	0.8416849816849817	0.8440293040293041
2	0.8833699633699634	0.8833699633699634	0.8305494505494506	0.7961904761904762	0.6036630036630037	0.7893772893772895	0.8802930402930403	0.8802930402930403	0.8833699633699634
5	0.9712087912087911	0.9712087912087911	0.8742124542124543	0.8213919413919413	0.608058608058608	0.8106227106227106	0.9671794871794871	0.9671794871794871	0.9712087912087911
10	1.0	1.0	0.9276190476190476	0.8609523809523809	0.6174358974358974	0.8457142857142858	0.9997802197802198	0.9997802197802198	1.0
20	1.0	1.0	0.9747252747252748	0.9082051282051282	0.6353113553113553	0.8907692307692308	1.0	1.0	1.0
50	1.0	1.0	0.9993406593406593	0.96989010989011	0.6810989010989011	0.9553113553113552	1.0	1.0	1.0
100	1.0	1.0	1.0	0.9943589743589744	0.7360439560439561	0.9888644688644689	1.0	1.0	1.0
200	1.0	1.0	1.0	1.0	0.8122344322344321	0.9997802197802198	1.0	1.0	1.0
500	1.0	1.0	1.0	1.0	0.9317216117216118	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	1.0	0.9901831501831502	1.0	1.0	1.0	1.0
1534	1.0	1.0	1.0	1.0	0.9983882783882784	1.0	1.0	1.0	1.0

