====================
Dataset: ml1m/old-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8329473684210527	0.8329473684210527	0.8016315789473685	0.8278421052631579	0.5402631578947368	0.8137894736842105	0.8287894736842105	0.8287894736842105	0.8329473684210527
1	0.8708421052631579	0.8708421052631579	0.8178421052631579	0.8616315789473683	0.5417368421052632	0.836	0.8657894736842107	0.8657894736842107	0.8708421052631579
2	0.9043157894736844	0.9043157894736844	0.833578947368421	0.8917894736842106	0.5428421052631579	0.8593157894736843	0.8981052631578947	0.8981052631578947	0.9043157894736844
5	0.9756315789473684	0.9756315789473684	0.8740526315789474	0.9607368421052632	0.5474736842105263	0.914578947368421	0.97	0.97	0.9756315789473684
10	1.0	1.0	0.9280526315789472	0.999	0.553	0.9717894736842105	0.9996842105263157	0.9996842105263157	1.0
20	1.0	1.0	0.9796842105263158	1.0	0.5699473684210526	0.999157894736842	1.0	1.0	1.0
50	1.0	1.0	1.0	1.0	0.6086842105263157	1.0	1.0	1.0	1.0
100	1.0	1.0	1.0	1.0	0.6643157894736842	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	1.0	0.7423157894736843	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	1.0	0.8658947368421053	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	1.0	0.9432105263157894	1.0	1.0	1.0	1.0
2000	1.0	1.0	1.0	1.0	0.9889473684210526	1.0	1.0	1.0	1.0
2913	1.0	1.0	1.0	1.0	0.9963157894736842	1.0	1.0	1.0	1.0

